Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,156868.1928,174969.1917,207869.9672
2,219438.5901,212062.922,244935.3803
3,276708.8132,286876.7404,331254.2453
4,342826.2515,356305.1204,387500.3812
5,422107.2188,459646.7663,458041.0067
6,525222.8565,516345.3295,523786.0603
7,507020.2056,538084.8326,547949.2708
8,516792.2028,500531.7328,501913.87
9,541631.3455,548464.3748,533702.5369
10,503232.6068,493752.1695,562098.7724
11,531692.888,547092.1525,549502.5031
12,521714.6537,534875.7578,519437.8898
13,510461.7226,534107.4627,542469.1034
14,612989.2537,528343.5774,546722.1537
