Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,10000,10000,10000,30000,30000,30000
1,2670.972923,2404.914052,4282.22779,8286.096009,8927.805364,9961.924664
2,6732.042332,9018.74059,13845.40638,19894.88695,15507.29163,25105.3385
3,230719.936,128472.4267,208615.3036,26528.09345,31283.24308,39494.34197
4,29282.37477,23114.65885,38928.68575,53690.01519,63169.6116,79942.25223
5,51159.49319,47652.60065,62974.07153,99729.09249,126060.3747,143618.3046
6,56878.00865,54428.11589,70587.71621,155118.5599,189296.2615,218946.9141
7,83702.64872,75229.32392,98840.11754,261954.9737,312112.654,340281.4145
8,83542.95473,74484.92621,121600.8917,309451.8306,351716.7441,506383.0528
9,104998.4857,94477.76897,87500.53398,489426.3906,523346.9703,542568.565
10,119019.8566,107345.5532,97387.77442,403254.2344,396794.372,432356.2446
11,129668.5476,106879.1631,84113.83238,549448.646,581787.3244,547724.2208
12,169848.1109,153939.9807,105912.1207,366505.3736,405494.9175,414435.3952
13,166316.3628,152718.1046,127639.6556,561872.8032,554494.847,553481.1246
14,147334.485,126105.7054,97291.32442,340421.4352,354461.971,385290.4597
