Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,30000,30000,30000,10000,10000,10000
1,97132.53,92459.57408,65861.97874,29409.39075,27008.427,18928.78329
2,128328.397,144498.9683,107595.0482,48008.30405,41819.60459,35275.39728
3,139401.9608,139536.7601,105120.73,76739.29846,70567.74957,52277.84002
4,137345.886,140476.2676,117075.7593,121270.1613,114871.8414,84710.66081
5,133021.9649,135959.8376,115975.5408,187872.6265,164486.2962,127845.1692
6,123373.5224,132588.3115,129633.7967,268251.1332,284564.5411,181496.7178
7,80681.7414,86750.38681,83420.7104,301343.2441,307656.4759,243605.1838
8,69791.08452,91228.97602,69512.33383,372376.1714,410546.3987,342936.6058
9,51330.43186,51128.80989,50153.80826,426599.947,450125.9655,490417.5063
10,34867.30345,40017.05329,54828.91534,406893.2275,395877.3538,363199.1057
11,34696.22789,36409.01731,26568.28095,449538.1524,464709.3944,440876.3472
12,53049.81165,51044.60191,25461.3548,375060.853,389870.6226,351417.2249
13,39523.83236,38266.9902,19536.34793,425495.7391,467623.2523,442896.2826
14,64859.20765,50103.86233,37935.3993,337088.9036,331865.7407,342083.1249
