0,7500,7500,7500
1,12843.2064597743,12843.2064597743,12843.2064597743
2,21576.5487666191,21576.5487666191,21576.5487666191
3,34932.950000528,34932.950000528,34932.950000528
4,53159.9135644889,53159.9135644889,53159.9135644889
5,74508.9641977636,74508.9641977636,74508.9641977636
6,96289.7557555168,96289.7557555168,96289.7557555168
7,117228.400144827,117228.400144827,117228.400144827
8,137809.067138187,137809.067138187,137809.067138187
9,159118.805313515,159118.805313515,159118.805313515
10,182128.697261373,182128.697261373,182128.697261373
