0,15000,15000,15000
1,30035.096613524,30035.096613524,30035.096613524
2,58777.0043158327,58777.0043158327,58777.0043158327
3,110473.003063093,110473.003063093,110473.003063093
4,194318.895510016,194318.895510016,194318.895510016
5,310127.223617798,310127.223617798,310127.223617798
6,438498.915265652,438498.915265652,438498.915265652
7,547825.812444568,547825.812444568,547825.812444568
8,616912.026264007,616912.026264007,616912.026264007
9,644963.586578359,644963.586578359,644963.586578359
10,642481.643956766,642481.643956766,642481.643956766
