0,15000,15000,15000
1,25669.9774518361,25669.9774518361,25669.9774518361
2,43203.8733585268,43203.8733585268,43203.8733585268
3,70519.1375308579,70519.1375308579,70519.1375308579
4,109385.557349137,109385.557349137,109385.557349137
5,158057.391004846,158057.391004846,158057.391004846
6,211386.808704362,211386.808704362,211386.808704362
7,264790.353610823,264790.353610823,264790.353610823
8,316830.434934495,316830.434934495,316830.434934495
9,368037.33468725,368037.33468725,368037.33468725
10,419153.303658962,419153.303658962,419153.303658962
