0,22500,22500,22500
1,38557.7874427253,38557.7874427253,38557.7874427253
2,65153.1439003094,65153.1439003094,65153.1439003094
3,107354.827150702,107354.827150702,107354.827150702
4,169581.739484067,169581.739484067,169581.739484067
5,251695.29445609,251695.29445609,251695.29445609
6,346217.447392358,346217.447392358,346217.447392358
7,442375.938563337,442375.938563337,442375.938563337
8,533569.201033796,533569.201033796,533569.201033796
9,619036.593712867,619036.593712867,619036.593712867
10,700566.649062616,700566.649062616,700566.649062616
