0,15000,15000,15000
1,25588.6957330847,25588.6957330847,25588.6957330847
2,42631.3593052357,42631.3593052357,42631.3593052357
3,68703.2936607008,68703.2936607008,68703.2936607008
4,105996.689174431,105996.689174431,105996.689174431
5,155538.881677862,155538.881677862,155538.881677862
6,217301.886950252,217301.886950252,217301.886950252
7,291140.384907061,291140.384907061,291140.384907061
8,377114.681382964,377114.681382964,377114.681382964
9,474408.396389712,474408.396389712,474408.396389712
10,579639.17383182,579639.17383182,579639.17383182
