0,22500,22500,22500
1,16379.9721640447,16379.9721640447,16379.9721640447
2,28287.941684256,28287.941684256,28287.941684256
3,48539.4060673751,48539.4060673751,48539.4060673751
4,82389.6039415147,82389.6039415147,82389.6039415147
5,137368.385339691,137368.385339691,137368.385339691
6,222625.463731734,222625.463731734,222625.463731734
7,345792.607453029,345792.607453029,345792.607453029
8,506661.595879667,506661.595879667,506661.595879667
9,691206.794132712,691206.794132712,691206.794132712
10,873879.360559929,873879.360559929,873879.360559929
