0,15000,15000,15000
1,1785.23313012775,1785.23313012775,1785.23313012775
2,4187.43116365892,4187.43116365892,4187.43116365892
3,9793.54420517067,9793.54420517067,9793.54420517067
4,22751.1441759037,22751.1441759037,22751.1441759037
5,52045.8217623981,52045.8217623981,52045.8217623981
6,115082.044277462,115082.044277462,115082.044277462
7,237408.009437855,237408.009437855,237408.009437855
8,433370.207498946,433370.207498946,433370.207498946
9,667897.01429474,667897.01429474,667897.01429474
10,867646.985779952,867646.985779952,867646.985779952
