0,22500,22500,22500
1,38306.9691340997,38306.9691340997,38306.9691340997
2,63959.8195845671,63959.8195845671,63959.8195845671
3,103155.747724571,103155.747724571,103155.747724571
4,157128.616595668,157128.616595668,157128.616595668
5,220428.837545752,220428.837545752,220428.837545752
6,280655.040466876,280655.040466876,280655.040466876
7,326629.407024179,326629.407024179,326629.407024179
8,355795.826235303,355795.826235303,355795.826235303
9,372090.406204232,372090.406204232,372090.406204232
10,380535.589390322,380535.589390322,380535.589390322
