0,7500,7500,7500
1,16985.3411061713,16985.3411061713,16985.3411061713
2,37296.728607308,37296.728607308,37296.728607308
3,77533.4547914757,77533.4547914757,77533.4547914757
4,147195.41952306,147195.41952306,147195.41952306
5,244744.758380882,244744.758380882,244744.758380882
6,346631.040547024,346631.040547024,346631.040547024
7,420607.242428207,420607.242428207,420607.242428207
8,452600.012577976,452600.012577976,452600.012577976
9,449726.287532153,449726.287532153,449726.287532153
10,425639.812882884,425639.812882884,425639.812882884
