0,22500,22500,22500
1,41448.6469662649,41448.6469662649,41448.6469662649
2,74220.4792028883,74220.4792028883,74220.4792028883
3,127452.625731833,127452.625731833,127452.625731833
4,206133.274674667,206133.274674667,206133.274674667
5,308229.101797636,308229.101797636,308229.101797636
6,421421.686422199,421421.686422199,421421.686422199
7,528358.521270395,528358.521270395,528358.521270395
8,616823.677769503,616823.677769503,616823.677769503
9,684007.561854985,684007.561854985,684007.561854985
10,733179.294962513,733179.294962513,733179.294962513
