0,22500,22500,22500
1,51017.8756067101,51017.8756067101,51017.8756067101
2,111234.284448986,111234.284448986,111234.284448986
3,224880.132933441,224880.132933441,224880.132933441
4,400683.720870896,400683.720870896,400683.720870896
5,603721.984094116,603721.984094116,603721.984094116
6,770747.091752487,770747.091752487,770747.091752487
7,870604.972362573,870604.972362573,870604.972362573
8,914426.080468832,914426.080468832,914426.080468832
9,924241.421973972,924241.421973972,924241.421973972
10,915716.027846742,915716.027846742,915716.027846742
