time,S,R,T,dose_u1
11.6,193106.952545226,3176.83763492366,196283.79018015,1.5
11.8,174720.708959881,3432.17172219057,178152.880682072,1.5
12,158317.966969906,3725.44272145799,162043.409691364,0
12.2,171194.205910583,4048.92146882597,175243.127379409,0
12.4,184439.261531788,4383.21290708025,188822.474438868,0
12.6,197960.412365821,4725.89544868787,202686.307814509,0
12.8,211702.402021043,5075.69671658309,216778.098737626,0
13,225572.633400356,5430.23901120812,231002.872411564,1.5
13.2,198628.31263941,5822.69580574911,204451.008445159,1.5
13.4,175252.223572478,6281.21159719025,181533.435169668,1.5
13.6,155004.595061683,6814.98751168114,161819.582573364,1.5
13.8,137358.109436512,7431.25625112344,144789.365687635,1.5
14,121861.158810986,8138.58522049586,129999.744031482,0
14.2,132926.537772382,8927.82992032868,141854.367692711,0
14.4,144495.531419375,9757.26247378674,154252.793893161,0
14.6,156501.895444021,10622.1391106549,167124.034554676,0
14.8,168928.431230999,11521.7300516056,180450.161282605,0
15,181707.102519568,12451.2378299268,194158.340349495,1.5
15.2,156778.91698197,13480.0855402732,170259.002522243,1.5
15.4,135432.423825982,14672.306880843,150104.730706825,1.5
15.6,117195.459796412,16050.0280804009,133245.487876813,1.5
15.8,101535.510147025,17631.1607150607,119166.670862086,1.5
16,88001.081328395,19436.4424878668,107437.523816262,0
16.2,96580.5113635162,21460.4706818952,118040.982045411,0
16.4,105647.922038246,23611.3202953177,129259.242333564,0
16.6,115183.171711506,25885.1098528447,141068.281564351,0
16.8,125184.551660489,28282.9786289312,153467.530289421,0
17,135609.853861744,30795.5561302326,166405.409991976,1.5
17.2,114337.048631849,33563.7760776735,147900.824709523,1.5
17.4,96374.1511799336,36727.4288646557,133101.580044589,1.5
17.6,81262.9104883153,40331.7664329883,121594.676921304,1.5
17.8,68511.1055507566,44411.2069318851,112922.312482642,1.5
18,57700.5419532853,49002.5236220081,106703.065575293,0
18.2,63336.6830660963,54115.2533442776,117451.936410374,0
18.4,69291.9512276339,59547.0643142817,128839.015541916,0
18.6,75552.2043116532,65287.2957041783,140839.500015831,0
18.8,82114.9746820271,71337.5481919523,153452.522873979,0
19,88951.0941858886,77672.7618406501,166623.856026539,1.5
19.2,72724.4499969514,84517.7681152496,157242.218112201,1.5
19.4,59294.6554891492,92122.7563851492,151417.411874298,1.5
19.6,48252.2457708983,100523.691169453,148775.936940351,1.5
19.8,39174.3515093382,109727.136267994,148901.487777333,1.5
20,31699.4060626168,119727.762950801,151427.169013418,0
20.2,34372.7673767836,130508.901912862,164881.669289646,0
20.4,37131.0776729509,141686.22335776,178817.301030711,0
20.6,39954.1024443341,153175.192211278,193129.294655612,0
20.8,42830.25292581,164933.343794206,207763.596720016,0
21,45739.0919302948,176876.633335179,222615.725265474,1.5
21.2,35731.750707895,189149.828191498,224881.578899393,1.5
21.4,27748.1237612706,202044.706890393,229792.830651663,1.5
21.6,21452.1574067528,215458.666824344,236910.824231097,1.5
21.8,16509.6143733205,229260.308230866,245769.922604186,1.5
22,12636.7225000971,243305.46983929,255942.192339388,0
22.2,13325.8078931773,257454.043294321,270779.851187498,0
22.4,13999.5504653195,271330.336240786,285329.886706106,0
22.6,14654.6871321291,284860.014895637,299514.702027766,0
22.8,15285.5171051193,297923.925744388,313209.442849507,0
23,15888.4054342253,310441.56059179,326329.966026015,1.5
23.2,11722.1739173272,322330.309828531,334052.483745858,1.5
23.4,8582.66653638065,333928.706893565,342511.373429946,1.5
23.6,6253.41824475919,345120.522730444,351373.940975203,1.5
23.8,4536.49395758017,355812.918448215,360349.412405795,1.5
24,3273.43007902036,365934.704497466,369208.134576487,0
24.2,3354.10713564675,375540.369102783,378894.47623843,0
24.4,3428.88147260996,384455.565904213,387884.447376823,0
24.6,3498.14635632968,392723.766959145,396221.913315474,0
24.8,3561.51817677987,400297.588656059,403859.106832839,0
25,3619.2078392746,407199.834244496,410819.04208377,0
