Parameter,S1
rS,0.293878953462927
KS,0.000131465508191877
IC50S,0.106546737360429
nS,-0.00223883477322022
alphaS,0.0396388664776339
rR,0.0415560778375152
KR,0.000119228447830611
IC50R,0.00203228023322365
nR,0.00494511074150091
alphaR,-0.00127170495501574
delta,-7.60373846989155e-05
gamma,1.12012728288435e-05
S0,0.159391796428859
R0,0.0347433107026943
