time,S,R,T,dose_u1
0,28500,1500,30000,0
0.2,31951.0357127051,1694.12508229611,33645.1607950012,0
0.4,35750.1943137253,1909.27690365319,37659.4712173785,0
0.6,39949.6123774179,2148.77719713243,42098.3895745503,0
0.8,44587.8331754938,2415.17412408967,47003.0072995835,0
1,49697.3626572271,2710.68668586313,52408.0493430902,1.5
1.2,54447.6731061529,3041.71219238882,57489.3852985417,1.5
1.4,59374.6112346985,3404.98986416565,62779.6010988641,1.5
1.6,64460.497469166,3804.95704976021,68265.4545189262,1.5
1.8,69675.216545999,4245.30692041513,73920.5234664142,1.5
2,74979.789308711,4729.04373531216,79708.8330440232,0
2.2,82916.1569148301,5263.81535952516,88179.9722743552,0
2.4,91424.4370123076,5840.50181031615,97264.9388226237,0
2.6,100531.100416457,6461.41522368144,106992.515640139,0
2.8,110256.419115119,7128.48600599417,117384.905121113,0
3,120587.889866569,7841.2620430227,128429.151909592,1.5
3.2,125651.349116223,8613.04110113978,134264.390217362,1.5
3.4,130373.353648123,9440.86175679341,139814.215404917,1.5
3.6,134710.704772967,10328.3348274538,145039.03960042,1.5
3.8,138602.301919367,11283.3199612009,149885.621880568,1.5
4,142015.31080873,12310.7212051108,154326.032013841,0
4.2,153886.762985077,13409.4793479802,167296.242333057,0
4.4,166144.436531711,14549.4083714151,180693.844903126,0
4.6,178703.141087957,15722.3463563782,194425.487444335,0
4.8,191518.661378484,16924.6627437808,208443.324122265,0
5,204506.941834433,18148.4508821451,222655.392716579,1.5
5.2,202084.812383945,19438.9638355621,221523.776219507,1.5
5.4,199200.565934359,20823.1997697251,220023.765704084,1.5
5.6,195909.688132437,22304.6636237377,218214.351756175,1.5
5.8,192205.808293381,23903.2318907128,216109.040184093,1.5
6,188122.83755124,25631.8738501609,213754.711401401,0
6.2,200618.198719509,27448.3359890766,228066.534708586,0
6.4,213135.209892755,29275.1690370161,242410.378929771,0
6.6,225582.075416656,31098.5828739506,256680.658290607,0
6.8,237868.15570609,32904.7558291439,270772.911535234,0
7,249942.70574211,34684.951578453,284627.657320563,1.5
7.2,236508.194234886,36578.1998145278,273086.394049414,1.5
7.4,223727.349813453,38677.9462610415,262405.296074495,1.5
7.6,211520.456432074,40993.1565215089,252513.612953583,1.5
7.8,199874.98748175,43558.7387443221,243433.726226072,1.5
8,188737.38612115,46395.1596411442,235132.545762294,0
8.2,200138.754961037,49384.6773252345,249523.432286272,0
8.4,211430.931544428,52356.2257214535,263787.157265881,0
8.6,222544.910879382,55290.3385032361,277835.249382618,0
8.8,233424.523381107,58170.6917832655,291595.215164372,0
9,243982.027723283,60973.9002943586,304955.928017642,1.5
9.2,223286.229662648,63990.171453736,287276.401116384,1.5
9.4,204444.68862603,67421.0204684243,271865.709094454,1.5
9.6,187275.275406251,71299.5798248439,258574.855231095,1.5
9.8,171587.377501599,75655.5417531799,247242.919254779,1.5
10,157178.601961021,80507.1726032841,237685.774564305,0
10.2,166558.111536942,85631.504835914,252189.616372856,0
10.4,175829.464005203,90714.7513611409,266544.215366344,0
10.6,184950.403753114,95730.2719189351,280680.675672049,0
10.8,193849.823283518,100638.591580459,294488.414863977,0
11,202465.893803223,105404.398699696,307870.292502919,1.5
11.2,179801.622925642,110498.957846004,290300.580771645,1.5
11.4,159656.576304279,116284.607482806,275941.183787085,1.5
11.6,141795.257015938,122795.729361128,264590.986377066,1.5
11.8,125891.65878203,130027.535908632,255919.194690662,1.5
12,111662.943949079,137967.645996363,249630.589945442,0
12.2,117953.106867199,146256.322318403,264209.429185602,0
12.4,124133.74332864,154426.71141669,278560.45474533,0
12.6,130172.976269645,162432.638020791,292605.614290436,0
12.8,136020.35343531,170206.651642191,306227.005077502,0
13,141640.742900355,177699.119630703,319339.862531059,1.5
13.2,121688.508291994,185501.840577836,307190.34886983,1.5
13.4,104361.869335177,194135.861051394,298497.730386572,1.5
13.6,89391.8045211644,203561.450463271,292953.254984435,1.5
13.8,76436.0633003047,213690.937067489,290127.000367793,1.5
14,65193.2697204508,224424.392236618,289617.661957069,0
14.2,68154.8714822411,235292.40913105,303447.280613291,0
14.4,71006.3608117788,245783.236382728,316789.597194506,0
14.6,73740.447305165,255864.711292969,329605.158598134,0
14.8,76334.228294713,265450.713254245,341784.941548958,0
15,78777.9992650507,274501.428319963,353279.427585014,1.5
15.2,65075.3747045755,283514.518385696,348589.893090272,1.5
15.4,53553.6414688765,293051.732935439,346605.374404315,1.5
15.6,43946.9403677363,302973.935525284,346920.875893021,1.5
15.8,35953.8236593602,313126.517469705,349080.341129065,1.5
16,29305.9392156997,323359.22304289,352665.16225859,0
16.2,30152.1584788741,333305.639769327,363457.798248201,0
16.4,30942.7261476157,342613.028974931,373555.755122546,0
16.6,31680.2920347036,351308.64750442,382988.939539124,0
