time,S,R,T,dose_u1
7.2,305290.350047463,31022.3876139707,336312.737661434,0.25
7.4,307058.310065078,32166.9300206236,339225.240085701,0.25
7.6,308429.372247106,33327.050783454,341756.42303056,0.25
7.8,309385.975305728,34506.698109982,343892.67341571,0.25
8,309950.270967518,35708.92823923,345659.199206748,0.25
8.2,310092.466275634,36941.7131645015,347034.179440135,0.25
8.4,309919.265960269,38202.6940582691,348121.960018538,0.25
8.6,309464.569961467,39492.997289312,348957.567250779,0.25
8.8,308719.354747265,40818.6075835056,349537.962330771,0.25
9,307701.703852391,42183.2804542067,349884.984306597,0.25
9.2,306393.672586013,43598.3990136607,349992.071599674,0.25
9.4,304869.625337067,45058.2660350789,349927.891372146,0.25
9.6,303153.342985908,46563.6054769395,349716.948462848,0.25
9.8,301238.858695311,48122.468172299,349361.326867611,0.25
10,299138.283894043,49739.1940276325,348877.477921676,0
10.2,308094.029292469,51325.5559919257,359419.585284394,0
10.4,316513.657389147,52819.4742640542,369333.131653202,0
10.6,324417.658475689,54223.9654654286,378641.623941118,0
10.8,331754.812015023,55529.670412191,387284.482427214,0
11,338530.160457246,56737.043069443,395267.203526689,0
11.2,344676.66424084,57833.915081212,402510.579322052,0
11.4,350338.028032721,58845.2440839856,409183.272116707,0
11.6,355556.561574372,59778.2923174852,415334.853891857,0
11.8,360310.417785653,60629.0132228491,420939.431008502,0
12,364623.947094422,61401.5593381843,426025.506432606,0
12.2,368465.927956087,62090.2252327847,430556.153188872,0
12.4,371958.111540875,62716.5613219042,434674.672862779,0
12.6,375139.824960408,63287.5052823009,438427.330242709,0
12.8,378004.012780095,63801.7329982553,441805.74577835,0
13,380574.740837157,64263.4868373835,444838.22767454,0
13.2,382838.900342743,64670.3671182367,447509.26746098,0
13.4,384880.579818069,65037.3891516625,449917.968969732,0
13.6,386727.827866911,65369.5549245763,452097.382791487,0
13.8,388379.065083302,65666.5597682492,454045.624851551,0
14,389851.479426596,65931.4687037659,455782.948130362,0
