time,S,R,T,dose_u1
0,22500,7500,30000,0
0.2,25224.3247196213,8470.56243079417,33694.8871504155,0
0.4,28223.0593268108,9546.10489528887,37769.1642220997,0
0.6,31537.105685786,10743.1389180466,42280.2446038325,0
0.8,35196.5737197488,12074.2839935126,47270.8577132614,0
1,39226.6986975126,13550.4706352105,52777.1693327231,0.25
1.2,43508.6938783239,15202.1351214133,58710.8289997372,0.25
1.4,48110.2882874996,17010.0253309989,65120.3136184985,0.25
1.6,53055.4417596278,18992.7946906971,72048.2364503248,0.25
1.8,58354.7585559519,21164.5189883753,79519.2775443272,0.25
2,64005.8497570083,23534.0625132604,87539.9122702686,0.25
2.2,70044.2573801712,26137.1790268773,96181.4364070484,0.25
2.4,76384.0592204282,28936.7387219685,105320.797942397,0.25
2.6,83014.3566604275,31942.0194556395,114956.376116067,0.25
2.8,89919.9558488405,35163.1473486458,125083.103197486,0.25
3,97065.1250807873,38598.9511764159,135664.076257203,0.25
3.2,104434.632420824,42279.9043451397,146714.536765963,0.25
3.4,111934.780528331,46152.3656131319,158087.146141463,0.25
3.6,119510.682814479,50197.922904767,169708.605719246,0.25
3.8,127114.215278935,54420.4487872917,181534.664066226,0.25
4,134683.862637391,58805.7976678722,193489.660305263,0.25
4.2,142131.482963666,63359.1489098151,205490.631873482,0.25
4.4,149414.483866754,68028.9192801627,217443.403146917,0.25
4.6,156487.839150618,72790.15067191,229277.989822528,0.25
4.8,163276.166011656,77632.4116022448,240908.5776139,0.25
5,169724.770439796,82536.2878057072,252261.058245504,0.25
5.2,175715.204311671,87486.557197121,263201.761508791,0.25
5.4,181294.61084901,92456.0689868795,273750.67983589,0.25
5.6,186455.589950993,97428.1975357535,283883.787486747,0.25
5.8,191131.741495731,102388.897752063,293520.639247795,0.25
6,195300.974714596,107325.312269827,302626.286984423,0.25
6.2,198869.105601243,112222.212705493,311091.318306736,0.25
6.4,201948.567112251,117079.869123355,319028.436235606,0.25
6.6,204565.617325509,121894.52480096,326460.142126469,0.25
6.8,206679.883642173,126658.23694827,333338.120590444,0.25
7,208299.506911683,131369.35065071,339668.857562393,0.25
7.2,209366.553387884,136021.956779576,345388.510167459,0.25
7.4,210007.584230492,140630.375773097,350637.960003589,0.25
7.6,210260.811552997,145198.686848967,355459.498401964,0.25
7.8,210106.923569765,149726.453421417,359833.376991182,0.25
8,209565.951992948,154218.744957905,363784.696950852,0.25
8.2,208606.850404483,158679.010881407,367285.86128589,0.25
8.4,207334.925933329,163120.645037699,370455.570971028,0.25
8.6,205784.508536663,167549.143958138,373333.652494801,0.25
8.8,203947.634529166,171968.814961527,375916.449490693,0.25
9,201843.773307424,176386.180938021,378229.954245445,0.25
9.2,199457.08611607,180810.151556929,380267.237672998,0.25
9.4,196862.610645517,185246.184929284,382108.795574801,0.25
9.6,194085.898381678,189697.719284451,383783.617666129,0.25
9.8,191124.380385592,194170.853571928,385295.233957519,0.25
10,187992.985408661,198670.572154486,386663.557563147,0.25
10.2,184684.780923395,203207.525516294,387892.306439689,0.25
10.4,181248.757888875,207778.663841643,389027.421730518,0.25
10.6,177702.609168526,212384.435290042,390087.044458568,0.25
10.8,174046.850216506,217030.546644736,391077.396861242,0.25
11,170292.565291025,221719.378037012,392011.943328037,0.25
11.2,166438.609443726,226460.134304321,392898.743748047,0.25
11.4,162515.139498788,231243.813320461,393758.952819249,0.25
11.6,158534.268596773,236068.158678226,394602.427274999,0.25
11.8,154499.046926747,240936.878618022,395435.925544769,0.25
12,150418.160682413,245849.470151547,396267.63083396,0.25
12.2,146295.469595483,250811.271668181,397106.741263664,0.25
12.4,142147.619510642,255810.743844495,397958.363355137,0.25
12.6,137982.958775136,260843.68337506,398826.642150196,0.25
12.8,133807.028699501,265910.613329999,399717.6420295,0.25
13,129627.223594874,271008.29075338,400635.514348254,0.25
13.2,125452.103159363,276136.382894277,401588.48605364,0.25
13.4,121288.751547505,281285.132811435,402573.884358941,0.25
13.6,117144.089263309,286449.660378095,403593.749641404,0.25
13.8,113023.397539505,291624.243809232,404647.641348738,0.25
14,108931.160534405,296803.48563663,405734.646171036,0.25
14.2,104882.428774767,301981.69307264,406864.121847407,0.25
14.4,100875.172683148,307152.582231392,408027.754914539,0.25
14.6,96912.5923633649,312311.148700761,409223.741064126,0.25
14.8,93004.4382742623,317450.102766336,410454.541040598,0.25
15,89156.4579965515,322562.522798387,411718.980794939,0.25
15.2,85384.3874926834,327635.167644576,413019.555137259,0.25
15.4,81678.4748686309,332668.443013608,414346.917882239,0.25
15.6,78039.6160779176,337658.64794449,415698.264022408,0.25
15.8,74478.6056038193,342595.221479333,417073.827083153,0.25
16,70999.9619497742,347471.020317045,418470.982266819,0.25
16.2,67621.0745449813,352267.671503627,419888.746048608,0.25
16.4,64325.9774756919,356993.740266192,421319.717741884,0.25
16.6,61113.3343780499,361647.743510985,422761.077889035,0.25
16.8,57993.9945929418,366217.077170144,424211.071763086,0.25
17,54970.9035028615,370695.535322675,425666.438825537,0.25
17.2,52061.4549104641,375061.727709172,427123.182619636,0.25
17.4,49245.1709491258,379332.265112576,428577.436061702,0.25
17.6,46518.754400676,383508.34095232,430027.095352996,0.25
17.8,43892.1946278587,387576.769441365,431468.964069224,0.25
18,41366.7364036317,391533.142208645,432899.878612277,0.25
18.2,38958.3397404423,395355.413684683,434313.753425125,0.25
18.4,36644.1022707995,399066.690569392,435710.792840192,0.25
18.6,34419.2834442006,402670.734057415,437090.017501616,0.25
18.8,32292.3754369642,406155.091279525,438447.466716489,0.25
19,30263.0897277001,409517.511516193,439780.601243893,0.25
19.2,28344.998968232,412737.325895261,441082.324863493,0.25
19.4,26514.9263691521,415841.61808197,442356.544451122,0.25
19.6,24767.3586654181,418836.121489813,443603.480155231,0.25
19.8,23109.0138209117,421710.018472066,444819.032292977,0.25
20,21538.4683331358,424463.072290031,446001.540623167,0.25
20.2,20066.5188817232,427077.335953028,447143.854834751,0.25
20.4,18671.5396266372,429581.075135528,448252.614762165,0.25
20.6,17347.9105534155,431981.14009898,449329.050652396,0.25
20.8,16100.6155376558,434268.763326675,450369.378864331,0.25
21,14927.5846924455,436445.236894061,451372.821586506,0.25
21.2,13836.9204464489,438495.929617072,452332.850063521,0.25
21.4,12809.7830360928,440447.855098652,453257.638134745,0.25
21.6,11840.971341132,442308.12196212,454149.093303252,0.25
21.8,10933.9781536501,444070.022761128,455004.000914778,0.25
22,10086.5313338697,445735.771368717,455822.302702587,0.25
22.2,9304.02971878841,447294.694840837,456598.724559626,0.25
22.4,8571.15111307336,448770.627865146,457341.778978219,0.25
22.6,7884.22943241274,450168.90610647,458053.135538883,0.25
22.8,7245.15844024594,451485.348271331,458730.506711576,0.25
23,6651.64834642256,452722.765927126,459374.414273549,0.25
23.2,6106.95044045833,453874.033288774,459980.983729233,0.25
23.4,5599.26283424139,454958.9426734,460558.205507641,0.25
23.6,5126.48683309484,455980.610241779,461107.097074874,0.25
23.8,4689.21927241257,456937.170049082,461626.389321495,0.25
24,4285.43816119982,457831.486013372,462116.924174572,0.25
24.2,3916.91249814915,458659.128095285,462576.040593434,0.25
24.4,3574.99322491587,459435.68912538,463010.682350296,0.25
24.6,3258.51363837046,460162.896048139,463421.40968651,0.25
24.8,2967.38500513152,460840.309133275,463807.694138406,0.25
25,2699.9698680693,461470.506413255,464170.476281324,0.25
