time,S,R,T,dose_u1
0,30000,10000,40000,0
0.2,33539.500306192,11260.8757983207,44800.3761045127,0
0.4,37413.950364978,12650.1416812498,50064.0920462278,0
0.6,41667.4665551624,14185.7649162271,55853.2314713895,0
0.8,46331.4754156563,15881.1345324591,62212.6099481154,0
1,51428.2681391586,17746.273214717,69174.5413538756,0
1.2,57035.389748635,19813.544365179,76848.934113814,0
1.4,63077.817707767,22054.8183398066,85132.6360475737,0
1.6,69586.057737182,24483.7900928863,94069.8478300683,0
1.8,76581.0588113214,27110.6505091187,103691.70932044,0
2,84062.2312588298,29937.0960150557,113999.327273886,0
2.2,92092.1926389425,32991.5358345435,125083.728473486,0
2.4,100549.765070611,36225.9328298123,136775.697900424,0
2.6,109405.769188717,39630.0689083264,149035.838097044,0
2.8,118654.192180987,43203.8270935069,161858.019274494,0
3,128250.626806019,46930.9417002027,175181.568506222,0
3.2,138184.156743734,50811.0350630318,188995.191806766,0
3.4,148325.377481316,54789.7703850522,203115.147866368,0
3.6,158601.51531169,58837.365653929,217438.880965619,0
3.8,168957.846231448,62933.378019224,231891.224250672,0
4,179321.477791718,67048.425400737,246369.903192455,0
4.2,189592.72465574,71144.3491415012,260737.073797241,0
4.4,199714.265977573,75193.7081734263,274907.974150999,0
4.6,209632.644437038,79173.1718958354,288805.816332873,0
4.8,219267.667174566,83050.370096761,302318.037271327,0
5,228561.758759112,86800.779760981,315362.538520093,0
5.2,237397.646716666,90376.8271399744,327774.47385664,0
5.4,245825.684763542,93795.2668357409,339620.951599283,0
5.6,253840.824419508,97052.4368570004,350893.261276508,0
5.8,261382.022103093,100122.953601211,361504.975704304,0
6,268434.169249692,102999.487543914,371433.656793606,0
6.2,274917.373937328,105648.933259772,380566.307197101,0
6.4,280946.594049152,108116.205010794,389062.799059946,0
6.6,286551.3180669,110412.471846836,396963.789913736,0
6.8,291700.899376037,112524.772358166,404225.671734203,0
7,296410.169466794,114458.557007223,410868.726474017,0
7.2,300638.267893908,116196.708165695,416834.976059603,0
7.4,304503.031726637,117786.76778029,422289.799506928,0
7.6,308041.244101065,119243.484682998,427284.728784063,0
7.8,311241.649672067,120562.035796949,431803.685469017,0
8,314126.414947492,121751.290522005,435877.705469498,0
8.2,316677.907248068,122803.829980718,439481.737228787,0
8.4,318985.29162186,123756.104018256,442741.395640116,0
8.6,321077.969050652,124620.106572843,445698.075623494,0
8.8,322952.922536983,125394.520485111,448347.443022094,0
9,324628.146839629,126086.685059494,450714.831899123,0
9.2,326096.928429044,126693.770078498,452790.698507542,0
9.4,327416.881207999,127239.47870481,454656.35991281,0
9.6,328607.479348512,127731.815805757,456339.295154269,0
9.8,329668.350691271,128170.603371994,457838.954063266,0
10,330611.482132437,128560.76887436,459172.251006797,0
10.2,331434.230615083,128901.200305186,460335.430920269,0
10.4,332170.991974595,129206.095053844,461377.087028439,0
10.6,332833.504019061,129480.296064242,462313.800083303,0
10.8,333422.00643943,129723.894910523,463145.901349952,0
11,333943.80672323,129939.906831257,463883.713554486,0
11.2,334397.65401915,130127.80835394,464525.46237309,0
11.4,334803.269399911,130295.753716919,465099.023116829,0
11.6,335167.385039144,130446.525965191,465613.911004336,0
11.8,335490.27288729,130580.235376118,466070.508263408,0
12,335776.123856163,130698.614533917,466474.73839008,0
12.2,336024.364151063,130801.424097465,466825.788248527,0
12.4,336245.983557353,130893.212329087,467139.195886441,0
12.6,336444.742173232,130975.535229948,467420.27740318,0
12.8,336620.83110071,131048.47125269,467669.302353401,0
13,336776.590663598,131112.98889616,467889.579559759,0
13.2,336911.741882934,131168.972090883,468080.713973816,0
13.4,337031.69050075,131218.659123677,468250.349624428,0
13.6,337138.021318308,131262.706094775,468400.727413083,0
13.8,337232.270520118,131301.749045163,468534.019565281,0
14,337315.805713731,131336.354272421,468652.159986152,0
14.2,337389.764620155,131366.992899993,468756.757520147,0
14.4,337455.382611676,131394.176519328,468849.559131004,0
14.6,337513.533783036,131418.267128116,468931.800911152,0
14.8,337565.064133421,131439.615108789,469004.67924221,0
15,337610.725924731,131458.532037323,469069.257962055,0
15.2,337651.144616661,131475.276975159,469126.421591821,0
15.4,337686.99853443,131490.130889578,469177.129424008,0
15.6,337718.767420124,131503.29249873,469222.059918854,0
15.8,337746.915214039,131514.953981401,469261.86919544,0
16,337771.854183335,131525.286116542,469297.140299877,0
16.2,337793.9269979,131534.430854416,469328.357852316,0
16.4,337813.505047495,131542.542045188,469356.047092683,0
16.6,337830.850932523,131549.728474092,469380.579406615,0
16.8,337846.218490138,131556.095297882,469402.31378802,0
17,337859.83320548,131561.735929397,469421.569134877,0
17.2,337871.882466879,131566.727999378,469438.610466257,0
17.4,337882.569295586,131571.155615752,469453.724911338,0
17.6,337892.03722399,131575.078241805,469467.115465795,0
17.8,337900.4249608,131578.553342978,469478.978303778,0
18,337907.855698025,131581.63195675,469489.487654775,0
18.2,337914.431804455,131584.356493839,469498.788298294,0
18.4,337920.264167443,131586.772894389,469507.037061832,0
18.6,337925.431176738,131588.913635078,469514.344811816,0
18.8,337930.008577574,131590.810097124,469520.818674698,0
19,337934.063634825,131592.490148466,469526.553783291,0
19.2,337937.652240764,131593.976945394,469531.629186158,0
19.4,337940.834932284,131595.295568551,469536.130500835,0
19.6,337943.654503141,131596.463747576,469540.118250717,0
19.8,337946.152300419,131597.498612798,469543.650913217,0
20,337948.365039915,131598.415375813,469546.780415727,0
20.2,337950.323228987,131599.226676033,469549.549905019,0
20.4,337952.059908228,131599.946202427,469552.006110655,0
20.6,337953.598433656,131600.583631587,469554.182065243,0
20.8,337954.961370832,131601.148312622,469556.109683454,0
21,337956.168757119,131601.648547199,469557.817304318,0
21.2,337957.237241434,131602.091233126,469559.32847456,0
21.4,337958.184854571,131602.483840739,469560.668695311,0
21.6,337959.024342164,131602.831650686,469561.85599285,0
21.8,337959.768018215,131603.139764787,469562.907783001,0
22,337960.4268169,131603.412713191,469563.839530092,0
22.2,337961.009823285,131603.654259942,469564.664083227,0
22.4,337961.526876348,131603.868481438,469565.395357785,0
22.6,337961.984931019,131604.058259185,469566.043190204,0
22.8,337962.390706617,131604.226377076,469566.617083692,0
23,337962.75016949,131604.375307037,469567.125476527,0
23.2,337963.068276987,131604.507102958,469567.575379945,0
23.4,337963.350397777,131604.623989142,469567.974386919,0
23.6,337963.600326826,131604.727537889,469568.327864715,0
23.8,337963.821730522,131604.819268227,469568.640998749,0
24,337964.017864369,131604.900528952,469568.918393321,0
24.2,337964.191433308,131604.972440754,469569.163874062,0
24.4,337964.345366707,131605.036217306,469569.381584013,0
24.6,337964.481735251,131605.092716518,469569.574451768,0
24.8,337964.602539459,131605.142767229,469569.745306688,0
25,337964.709555655,131605.187105394,469569.896661049,0
