time,S,R,T,dose_u1
0,22500,7500,30000,1.5
0.2,25178.681970546,8470.58315663035,33649.2651271763,1.5
0.4,28045.1575805357,9546.32747619474,37591.4850567305,1.5
0.6,31108.3168620285,10744.1056724348,41852.4225344633,1.5
0.8,34364.8005661503,12077.1705584187,46441.971124569,1.5
1,37803.9817864291,13557.4495648788,51361.4313513079,1.5
1.2,41427.6001523349,15217.0352979924,56644.6354503273,1.5
1.4,45184.5186985069,17037.6984678828,62222.2171663897,1.5
1.6,49059.5059844266,19040.9238035035,68100.4297879301,1.5
1.8,53026.6827004612,21244.1538886618,74270.836589123,1.5
2,57053.4988920408,23660.6608746769,80714.1597667177,1.5
2.2,61100.8424928112,26334.2639526647,87435.1064454759,1.5
2.4,65124.9808525009,29231.8918830782,94356.8727355792,1.5
2.6,69084.4509164848,32374.6917827918,101459.142699277,1.5
2.8,72932.7977785798,35783.9955951512,108716.793373731,1.5
3,76624.3928859307,39472.1751303565,116096.568016287,1.5
3.2,80078.743080475,43495.059131692,123573.802212167,1.5
3.4,83296.4159304028,47801.6769004214,131098.092830824,1.5
3.6,86235.8472554052,52403.803930709,138639.651186114,1.5
3.8,88843.1056621135,57328.665709452,146171.771371566,1.5
4,91082.5971022501,62586.4123191964,153669.009421447,1.5
4.2,92856.1936679216,68244.6643834287,161100.85805135,1.5
4.4,94228.2697897134,74236.8798997277,168465.149689441,1.5
4.6,95199.5166013955,80553.4533000135,175752.969901409,1.5
4.8,95720.5246527894,87229.9936775177,182950.518330307,1.5
5,95785.0399737488,94273.9880268631,190059.028000612,1.5
5.2,95315.9119775698,101753.537474136,197069.449451706,1.5
5.4,94424.0223259216,109588.986110552,204013.008436474,1.5
5.6,93142.888106479,117759.285666409,210902.173772888,1.5
5.8,91449.7853954085,126295.35005856,217745.135453969,1.5
6,89364.4928438311,135195.452837767,224559.945681598,1.5
6.2,86858.5165318347,144512.147604928,231370.664136763,1.5
6.4,84045.6498294806,154155.035002471,238200.684831952,1.5
6.6,80971.8208727608,164091.89283396,245063.713706721,1.5
6.8,77644.6905664703,174334.15379357,251978.84436004,1.5
7,74100.7549730539,184861.509603178,258962.264576231,1.5
7.2,70356.6002849302,195686.506041241,266043.106326171,1.5
7.4,66492.6744648914,206719.159354575,273211.833819466,1.5
7.6,62550.4243979444,217915.494139184,280465.918537128,1.5
7.8,58558.6152466743,229254.030093986,287812.645340661,1.5
8,54554.1621204207,240693.078076715,295247.240197136,1.5
8.2,50582.8625655074,252186.01271441,302768.875279917,1.5
8.4,46672.2849251083,263671.479710464,310343.764635572,1.5
8.6,42846.8212957942,275104.666040469,317951.487336263,1.5
8.8,39140.9781830827,286431.761471145,325572.739654227,1.5
9,35579.2845349923,297601.346999977,333180.63153497,1.5
9.2,32210.3424676797,308520.418355496,340730.760823176,1.5
9.4,29012.7683516414,319188.300078046,348201.068429688,1.5
9.6,25989.8242624081,329579.091200111,355568.915462519,1.5
9.8,23167.7419190795,339626.84420139,362794.58612047,1.5
10,20553.0816334436,349292.558478998,369845.640112442,1.5
10.2,18169.5186788278,358497.47013703,376666.988815858,1.5
10.4,15973.7974288957,367299.702038932,383273.499467828,1.5
10.6,13972.7643738963,375660.867187269,389633.631561165,1.5
10.8,12166.4205488289,383553.802733365,395720.223282194,1.5
11,10546.1647679381,390970.922742429,401517.087510367,1.5
11.2,9115.08558377934,397871.046076187,406986.131659966,1.5
11.4,7833.84654506074,404335.003626695,412168.850171756,1.5
11.6,6702.48234255088,410339.59976404,417042.082106591,1.5
11.8,5710.57757190245,415891.229110889,421601.806682792,1.5
12,4845.90101377795,421004.827769274,425850.728783052,1.5
12.2,4102.12513499351,425673.232671737,429775.35780673,1.5
12.4,3453.62265310396,429968.681788761,433422.304441865,1.5
12.6,2895.86428158412,433889.217563624,436785.081845208,1.5
12.8,2419.2035936854,437454.153561597,439873.357155282,1.5
13,2013.67155742579,440686.764876053,442700.436433479,1.5
13.2,1672.61182772304,443596.275764746,445268.887592469,1.5
13.4,1382.08307995349,446235.740583814,447617.823663768,1.5
13.6,1137.8244164892,448612.924078172,449750.748494661,1.5
13.8,933.664352645021,450747.452021495,451681.11637414,1.5
14,763.527840260017,452660.759300352,453424.287140612,1.5
14.2,623.253796916632,454364.793274362,454988.047071279,1.5
14.4,506.179063067194,455894.270190349,456400.449253416,1.5
14.6,409.693377716866,457258.184272021,457667.877649738,1.5
14.8,330.60827066723,458471.466544755,458802.074815423,1.5
15,265.932138604628,459549.504305166,459815.436443771,1.5
15.2,213.556636899939,460501.997977011,460715.554613911,1.5
15.4,170.637504437909,461349.914286232,461520.55179067,1.5
15.6,135.904912543089,462100.166881706,462236.071794249,1.5
15.8,107.941753944067,462762.57231815,462870.514072095,1.5
16,85.4664195256996,463346.896384541,463432.362804067,1.5
16.2,67.5674312087067,463859.646921071,463927.21435228,1.5
16.4,53.1473443889837,464312.792449135,464365.939793524,1.5
16.6,41.6763245746546,464710.837222633,464752.513547208,1.5
16.8,32.5958929753465,465059.703648319,465092.299541294,1.5
17,25.4164791474469,465365.141606056,465390.558085203,1.5
17.2,19.7891481714743,465631.113981744,465650.903129916,1.5
17.4,15.3287820240458,465864.178700569,465879.507482593,1.5
17.6,11.838663578958,466067.041208554,466078.879872133,1.5
17.8,9.12059713989695,466243.084479861,466252.205077001,1.5
18,7.00537202250189,466395.541629458,466402.54700148,1.5
18.2,5.37287749496512,466526.689328487,466532.062205982,1.5
18.4,4.09927970083219,466640.030529798,466644.129809499,1.5
18.6,3.11865457174253,466737.113043153,466740.231697725,1.5
18.8,2.36704595184653,466819.805205249,466822.172251201,1.5
19,1.79116802564297,466889.872730575,466891.663898601,1.5
19.2,1.35339730687712,466948.579759104,466949.933156411,1.5
19.4,1.0171580499198,466997.768890579,466998.786048629,1.5
19.6,0.762349517166549,467038.299464983,467039.0618145,1.5
