Parameter,S1
rS,0.620375126452673
KS,0.00292401995046702
IC50S,0
nS,0
alphaS,0
rR,0.000968790301298971
KR,2.63506783212234e-06
IC50R,0
nR,0
alphaR,0
delta,1.07010729603454e-05
gamma,-2.89976551717716e-06
S0,0.284276523920206
R0,0.000724382018843309
