Parameter,ST
rS,0.709732154438148
KS,0.00801256438909835
IC50S,0
nS,0
alphaS,0
rR,0.00149467256068445
KR,2.42326355609632e-06
IC50R,0
nR,0
alphaR,0
delta,2.50696046687529e-05
gamma,8.52362407027955e-07
S0,0.371654041148026
R0,0.00127424825434708
