time,S,R,T,dose_u1
0,22500,7500,30000,0
0.2,26180.0571205116,8488.07855758473,34668.1356780963,0
0.4,30400.4352155736,9592.29771229456,39992.7329278681,0
0.6,35267.9863065677,10832.0730054343,46100.059312002,0
0.8,40874.3669789257,12222.4735564104,53096.840535336,0
1,47321.8546800872,13779.4759715925,61101.3306516797,1.5
1.2,53897.0300051876,15457.5339597275,69354.5639649151,1.5
1.4,61063.9295153934,17290.7176465727,78354.6471619661,1.5
1.6,68870.6789210692,19298.4381594734,88169.1170805426,1.5
1.8,77331.8285234978,21493.7719092506,98825.6004327484,1.5
2,86438.8199464467,23886.0595897325,110324.879536179,1.5
2.2,96252.0421224678,26511.6307477669,122763.672870235,1.5
2.4,106604.887105024,29334.7858817759,135939.6729868,1.5
2.6,117462.717302722,32366.1400116104,149828.857314332,1.5
2.8,128781.7889119,35618.7594986362,164400.548410536,1.5
3,140480.274842116,39094.9871085519,179575.261950668,1.5
3.2,152490.422728064,42831.7088952418,195322.131623306,1.5
3.4,164638.830611292,46778.2422402628,211417.072851555,1.5
3.6,176808.452950872,50922.9329653149,227731.385916187,1.5
3.8,188877.669893681,55277.7998746774,244155.469768359,1.5
4,200713.231084792,59837.0863032009,260550.317387993,1.5
4.2,212091.403753822,64624.5989995067,276716.002753329,1.5
4.4,222962.442374487,69587.8346363176,292550.277010804,1.5
4.6,233242.344689596,74707.1422905713,307949.486980167,1.5
4.8,242761.384535031,79987.8902390778,322749.274774109,1.5
5,251408.104125766,85420.8564584285,336828.960584195,0
5.2,279539.673448899,93146.6570843981,372686.330533297,0
5.4,309076.902169066,101118.154404457,410195.056573522,0
5.6,339799.706792148,109274.574675449,449074.281467597,0
5.8,371528.314256265,117559.425828669,489087.740084935,0
6,403956.621550212,125895.253954094,529851.875504307,1.5
6.2,399428.880801025,130688.874222782,530117.755023808,1.5
6.4,393852.251989838,135537.87297454,529390.124964378,1.5
6.6,387360.515905279,140445.862001025,527806.377906303,1.5
6.8,379949.03268336,145426.553061671,525375.585745031,1.5
7,371704.841759944,150489.382976018,522194.224735962,0
7.2,402339.450014392,160544.256622337,562883.706636729,0
7.4,432985.78065028,170466.286654812,603452.067305092,0
7.6,463340.135667574,180175.024640029,643515.160307603,0
7.8,493139.482720895,189606.814487946,682746.297208841,0
8,522056.830627261,198662.217091712,720719.047718973,1.5
8.2,489549.794101013,200329.190697789,689878.984798802,1.5
8.4,459380.005336155,202455.651309173,661835.656645327,1.5
8.6,431193.38365838,204993.015093082,636186.398751462,1.5
8.8,404885.283569044,207940.720531935,612826.004100978,1.5
9,380223.429082408,211267.365211216,591490.794293625,0
9.2,407561.108744971,223596.904124525,631158.012869496,0
9.4,434477.511552785,235599.081081487,670076.592634272,0
9.6,460762.176334759,247204.174501117,707966.350835876,0
9.8,486129.262828042,258292.120420269,744421.38324831,0
10,510372.704954372,268790.475874981,779163.180829353,1.5
10.2,461538.357826429,267035.817446467,728574.175272897,1.5
10.4,418354.281323672,266374.083065405,684728.364389076,1.5
10.6,380157.852035193,266640.174978978,646798.027014171,1.5
10.8,346134.715299268,267758.603637074,613893.318936343,1.5
11,315560.433800269,269567.168437994,585127.602238263,0
11.2,338577.266164705,285524.791642962,624102.057807667,0
11.4,361315.508527844,301108.109569414,662423.618097258,0
11.6,383595.371191623,316224.28582929,699819.657020912,0
11.8,405182.461496958,330721.003871473,735903.465368431,0
12,425899.773308592,344501.468890264,770401.242198856,1.5
12.2,374413.800696875,339463.321892968,713877.122589843,1.5
12.4,330062.372642881,336035.001984463,666097.374627343,1.5
12.6,291841.813049309,333981.011820136,625822.824869444,1.5
12.8,258637.346755772,333031.880580722,591669.227336494,1.5
13,229528.065995174,332975.578949399,562503.644944573,0
13.2,247081.252879776,353633.671426265,600714.924306041,0
13.4,264557.431934968,373952.975346077,638510.407281045,0
13.6,281811.582345115,393802.254562402,675613.836907517,0
13.8,298674.548922753,412991.570638797,711666.119561551,0
14,315001.156839213,431382.878470083,746384.035309295,1.5
14.2,269601.191297579,422140.749360725,691741.940658304,1.5
14.4,231287.346704736,414923.360820584,646210.70752532,1.5
14.6,198958.632581177,409370.083048542,608328.715629719,1.5
14.8,171492.074485223,405115.192278207,576607.26676343,1.5
15,147971.629664083,401854.295649923,549825.925314006,0
15.2,159590.642140664,427446.777870666,587037.42001133,0
15.4,171217.686689202,452724.040610555,623941.727299757,0
15.6,182752.006638508,477508.62213928,660260.628777788,0
15.8,194105.701554511,501659.306953219,695765.00850773,0
16,205169.681825135,524951.16026327,730120.842088405,1.5
16.2,170732.880339491,509625.094964511,680357.975304002,1.5
16.4,142303.261741996,496709.113016888,639012.374758884,1.5
16.6,118871.319491371,485742.077990095,604613.397481466,1.5
16.8,99460.7351907,476284.995598865,575745.730789565,1.5
17,83276.5099304363,467981.129672038,551257.639602475,0
17.2,89805.1584916498,497738.056289938,587543.214781587,0
17.4,96349.4040481158,527178.455387338,623527.859435454,0
17.6,102854.093296335,556100.732747346,658954.826043681,0
17.8,109270.518342859,584342.177811886,693612.696154745,0
18,115539.782703424,611650.002587345,727189.785290769,1.5
18.2,93314.4218775942,588225.144516367,681539.566393961,1.5
18.4,75432.9593781849,567733.982887343,643166.942265528,1.5
18.6,61097.4124536908,549642.297582565,610739.710036255,1.5
18.8,49562.3923056562,533452.919390916,583015.311696572,1.5
19,40227.7963982247,518767.942199172,558995.738597396,0
19.2,43336.5077638863,551287.370355195,594623.878119081,0
19.4,46450.9054857253,583448.662552152,629899.568037877,0
19.6,49545.5725320427,615039.521850023,664585.094382065,0
19.8,52598.1163158415,645889.241393326,698487.357709167,0
20,55581.2366928656,675728.569834248,731309.806527113,1.5
20.2,43531.707437505,643361.889770656,686893.597208161,1.5
20.4,34113.874817921,614705.710521916,648819.585339837,1.5
20.6,26789.5020250782,589142.480904197,615931.982929275,1.5
20.8,21075.4942335477,566098.318627068,587173.812860616,1.5
21,16591.8015881181,545112.019160249,561703.820748367,0
21.2,17867.6833159255,579116.597088718,596984.280404643,0
21.4,19145.9932433379,612751.127015576,631897.120258914,0
21.6,20416.452938073,645797.100908683,666213.553846756,0
21.8,21669.9973803616,678078.658939683,699748.656320045,0
22,22895.5910188294,709318.12590979,732213.716928619,1.5
22.2,17399.6898062431,668956.814893198,686356.504699441,1.5
22.4,13230.3853848724,633233.760114666,646464.145499539,1.5
22.6,10085.6440910724,601410.130545472,611495.774636544,1.5
22.8,7705.92259385898,572801.215032632,580507.137626491,1.5
23,5893.40425273637,546853.373510678,552746.777763414,0
23.2,6354.75132235704,581574.736365114,587929.487687471,0
23.4,6818.16481989805,615998.370206715,622816.535026614,0
23.6,7279.62931301811,649859.079374714,657138.708687732,0
23.8,7736.1313128238,683020.650840697,690756.782153521,0
24,8183.762365289,715209.823165662,723393.585530951,1.5
24.2,6043.00263713299,668920.541697889,674963.544335022,1.5
24.4,4465.21128888732,628126.243285392,632591.454574279,1.5
24.6,3309.56187450338,591947.495448385,595257.057322888,1.5
24.8,2459.89999176344,559578.827950109,562038.727941873,1.5
25,1830.59171783132,530370.004952045,532200.596669876,1.5
