time,S,R,T,dose_u1
0,25500,4500,30000,0
0.2,29670.528785952,5092.81831591309,34763.3471018651,0
0.4,34452.8428451342,5755.2439583334,40208.0868034676,0
0.6,39967.6236224305,6498.87655793979,46466.5001803703,0
0.8,46318.1394196957,7332.68846195548,53650.8278816512,0
1,53619.3708476031,8266.16367146656,61885.5345190697,1.5
1.2,61061.9194228108,9271.8685417082,70333.7879645191,1.5
1.4,69171.2078787947,10370.1966098276,79541.4044886223,1.5
1.6,78000.3714505717,11572.6297066127,89573.0011571844,1.5
1.8,87564.684995385,12886.8734139133,100451.558409298,1.5
2,97853.098151347,14318.3689846919,112171.467136039,1.5
2.2,108931.781001079,15888.6558749231,124820.436876002,1.5
2.4,120612.358899439,17576.33009397,138188.688993409,1.5
2.6,132853.814831068,19387.4640844408,152241.278915508,1.5
2.8,145605.937842219,21329.7894901935,166935.727332413,1.5
3,158775.97772306,23404.6331191293,182180.610842189,1.5
3.2,172286.558463718,25633.9684074043,197920.526871123,1.5
3.4,185945.297820086,27987.8299957176,213933.127815803,1.5
3.6,199622.34230431,30459.2276594915,230081.569963802,1.5
3.8,213183.218505371,33055.7274506167,246238.945955988,1.5
4,226481.989641864,35774.4142029643,262256.403844828,1.5
4.2,239274.6911105,38630.5319716047,277905.223082105,1.5
4.4,251510.51612878,41593.5066643834,293104.022793163,1.5
4.6,263100.274055766,44652.4995603538,307752.77361612,1.5
4.8,273861.994526928,47812.2703981982,321674.264925126,1.5
5,283678.441505526,51068.9466826721,334747.388188198,0
5.2,315498.091695612,55698.9001486832,371196.991844295,0
5.4,348890.025416901,60473.4058629363,409363.431279838,0
5.6,383595.361432677,65354.8280754754,448950.189508153,0
5.8,419400.061276636,70307.9950618277,489708.056338464,0
6,455950.742290975,75285.7087352106,531236.451026186,1.5
6.2,450857.305191336,78154.8036215516,529012.108812887,1.5
6.4,444723.977391706,81078.9668005003,525802.944192207,1.5
6.6,437687.439467244,84061.2876193492,521748.727086593,1.5
6.8,429746.67577631,87114.5495547877,516861.225331098,1.5
7,420989.832990758,90247.1519194452,511236.984910203,0
7.2,456362.700578602,96393.3646800241,552756.065258626,0
7.4,491788.566360384,102463.57596426,594252.142324644,0
7.6,526902.929421364,108406.385623713,635309.315045077,0
7.8,561388.374270001,114180.82452451,675569.198794511,0
