time,S,R,T,dose_u1
8,489304.408090969,99911.4126163537,589215.820707323,0
8.2,524581.520712514,105758.119764756,630339.64047727,0
8.4,559222.622397381,111434.395725883,670657.018123264,0
8.6,592950.13309295,116906.669169691,709856.80226264,0
8.8,625378.234227451,122115.741822255,747493.976049706,0
9,656233.365509271,127026.686648349,783260.05215762,1.5
9.2,602185.065717916,126774.161659974,728959.22737789,1.5
9.4,554246.752598397,127076.538876682,681323.291475079,1.5
9.6,511650.26032523,127896.541664104,639546.801989335,1.5
9.8,473514.004858343,129176.415782004,602690.420640347,1.5
10,439025.861937256,130862.044719239,569887.906656494,0
10.2,471981.967762346,138832.630529016,610814.598291363,0
10.4,504535.142812518,146612.853558257,651147.996370775,0
10.6,536408.193729584,154152.335108565,690560.528838149,0
10.8,567243.997990915,161370.396592075,728614.39458299,0
11,596772.199201733,168215.435691292,764987.634893025,1.5
11.2,533262.953160527,166741.016014256,700003.969174783,1.5
11.4,478398.91273635,166190.150997993,644589.063734344,1.5
11.6,430905.508562919,166418.046755305,597323.555318223,1.5
11.8,389370.016631948,167339.848865819,556709.865497767,1.5
12,352632.15617541,168830.31897646,521462.475151869,0
12.2,381744.784943762,180129.820290871,561874.605234633,0
12.4,410891.581506708,191288.524826613,602180.106333321,0
12.6,439785.175775383,202216.251708834,642001.427484217,0
12.8,468175.370197118,212841.199507529,681016.569704647,0
13,495754.235252416,223052.428203395,718806.663455812,1.5
13.2,432706.432406044,220161.953460298,652868.385866342,1.5
13.4,379140.928313663,218510.071001466,597650.99931513,1.5
13.6,333525.76947791,217916.916626336,551442.686104247,1.5
13.8,294295.397732287,218168.915505866,512464.313238153,1.5
14,260196.054462247,219110.45690002,479306.511362267,0
14.2,283413.659518809,234948.084510386,518361.744029195,0
14.4,306966.025687171,250788.057904187,557754.083591358,0
14.6,330622.420090397,266501.104134068,597123.524224465,0
14.8,354170.531265722,281942.863040172,636113.394305894,0
15,377376.614350337,296978.254487006,674354.868837343,1.5
15.2,321514.672476787,291731.814992372,613246.487469159,1.5
15.4,274774.332663743,288027.950890994,562802.283554736,1.5
15.6,235613.450473398,285585.257714675,521198.708188073,1.5
15.8,202533.957738494,284126.750268586,486660.70800708,1.5
16,174339.160505915,283425.609763828,457764.770269744,0
16.2,190510.252865249,304712.627890639,495222.880755888,0
16.4,207043.833843532,326158.096101912,533201.929945444,0
16.6,223781.419245021,347587.285401976,571368.704646996,0
16.8,240589.525723215,368800.566596652,609390.092319866,0
17,257286.029975008,389583.859796322,646869.88977133,1.5
17.2,213415.080332568,380080.495138533,593495.575471102,1.5
17.4,177376.738367271,372405.811185781,549782.549553052,1.5
17.6,147792.903488494,366186.848415213,513979.751903707,1.5
17.8,123364.490474121,361075.13926676,484439.62974088,1.5
18,103049.220082838,356789.035474894,459838.255557733,0
18.2,112586.995618418,383528.638821533,496115.634439951,0
18.4,122355.453701586,410514.295794019,532869.749495605,0
18.6,132264.634959558,437534.124058035,569798.759017592,0
18.8,142244.309760711,464357.682118112,606601.991878823,0
19,152192.669188305,490727.937319645,642920.60650795,1.5
19.2,122513.372864032,474233.033845102,596746.406709134,1.5
19.4,98710.7100079072,459953.862488473,558664.57249638,1.5
19.6,79682.9174059414,447447.108025505,527130.025431447,1.5
19.8,64412.7667147695,436309.39672158,500722.16343635,1.5
20,52087.5557019831,426222.136218905,478309.691920888,0
20.2,56761.8649456483,457203.658526951,513965.5234726,0
20.4,61535.4002762634,488393.624237649,549929.024513912,0
20.6,66365.8596702102,519558.73658122,585924.59625143,0
20.8,71218.4860677134,550433.115879288,621651.601947002,0
21,76045.5169503072,580733.383923192,656778.900873499,1.5
21.2,59273.8061847906,554916.708717864,614190.514902655,1.5
21.4,46213.2563448998,532009.217872684,578222.474217584,1.5
21.6,36095.6653568567,511497.996520606,547593.661877463,1.5
21.8,28235.4519362159,492916.1456491,521151.597585315,1.5
22,22095.0556365765,475894.082152523,497989.1377891,0
22.2,24010.9809309328,509331.30636901,533342.287299943,0
22.4,25960.0962921946,542880.812117956,568840.908410151,0
22.6,27925.6577485433,576302.438912529,604228.096661072,0
22.8,29893.5427893726,609342.77195974,639236.314749113,0
23,31847.06205617,641752.284919552,673599.346975722,1.5
23.2,24031.5442911901,606300.686419874,630332.230711064,1.5
23.4,18136.7264023556,574779.087577783,592915.813980139,1.5
23.6,13718.5249170798,546557.433675375,560275.958592455,1.5
23.8,10397.5289670375,521056.82533335,531454.354300387,1.5
24,7885.75652098838,497811.981657272,505697.73817826,0
24.2,8560.27155670457,532319.175583455,540879.44714016,0
24.4,9245.49655481189,566899.464352719,576144.960907531,0
24.6,9935.63042224752,601310.135870394,611245.766292642,0
24.8,10625.6814656935,635289.900952333,645915.582418026,0
25,11309.8715019905,668586.394043439,679896.265545429,0
