Parameter,ST
rS,0.892723109692417
KS,0.09739902293369
IC50S,0
nS,0
alphaS,0
rR,0.00882062310092412
KR,9.90075779084749e-05
IC50R,0
nR,0
alphaR,0
delta,0.000179512286996429
gamma,6.45125846536552e-06
S0,0.115860476316847
R0,0.00310831043947441
