time,S,R,T,dose_u1
21.2,119120.742105591,350385.601336639,469506.34344223,0
21.4,119122.579095826,350391.350339643,469513.92943547,0
21.6,119124.200862428,350396.425788226,469520.626650654,0
21.8,119125.632570507,350400.906437003,469526.539007511,0
22,119126.896488875,350404.861976854,469531.758465729,0
22.2,119128.011094546,350408.350232213,469536.361326758,0
22.4,119128.996223219,350411.43327972,469540.429502939,0
22.6,119129.865921707,350414.155079545,469544.021001252,0
22.8,119130.633689263,350416.557878358,469547.19156762,0
23,119131.311470856,350418.679058687,469549.990529543,0
23.2,119131.909177289,350420.549637029,469552.458814318,0
23.4,119132.437447593,350422.202908976,469554.640356569,0
23.6,119132.903815728,350423.662452601,469556.56626833,0
23.8,119133.315521718,350424.950926116,469558.266447834,0
24,119133.678971798,350426.088378351,469559.767350149,0
24.2,119133.999481183,350427.091443714,469561.090924897,0
24.4,119134.28275548,350427.977978375,469562.260733855,0
24.6,119134.532835035,350428.760626947,469563.293461982,0
24.8,119134.753602485,350429.451540489,469564.205142974,0
25,119134.948493278,350430.061470541,469565.009963818,0
