10000,10000,10000
18401.8660693381,18401.8660693381,18401.8660693381
33553.3458665879,33553.3458665879,33553.3458665879
60098.8637561567,60098.8637561567,60098.8637561567
104104.999022501,104104.999022501,104104.999022501
170229.774607687,170229.774607687,170229.774607687
255253.314543523,255253.314543523,255253.314543523
343913.580029616,343913.580029616,343913.580029616
417445.45830622,417445.45830622,417445.45830622
467336.227234155,467336.227234155,467336.227234155
496645.380773761,496645.380773761,496645.380773761
512400.668455269,512400.668455269,512400.668455269
520477.583921654,520477.583921654,520477.583921654
524506.636752103,524506.636752103,524506.636752103
526492.280661218,526492.280661218,526492.280661218
