40000,40000,40000
54150.7488518056,54150.7488518056,54150.7488518056
73307.5581367132,73307.5581367132,73307.5581367132
99241.6903733674,99241.6903733674,99241.6903733674
134350.370296289,134350.370296289,134350.370296289
181878.392054028,181878.392054028,181878.392054028
246192.411446702,246192.411446702,246192.411446702
332497.228889786,332497.228889786,332497.228889786
432668.968256332,432668.968256332,432668.968256332
477252.819887495,477252.819887495,477252.819887495
481280.344756285,481280.344756285,481280.344756285
