10000,10000,10000
18718.5565428351,18718.5565428351,18718.5565428351
34548.1088582535,34548.1088582535,34548.1088582535
62184.6738618183,62184.6738618183,62184.6738618183
107288.259312292,107288.259312292,107288.259312292
173374.944892445,173374.944892445,173374.944892445
256365.128080193,256365.128080193,256365.128080193
342531.374108363,342531.374108363,342531.374108363
416014.582172086,416014.582172086,416014.582172086
468878.383319622,468878.383319622,468878.383319622
502430.656252003,502430.656252003,502430.656252003
