Parameter,S1
rS,0.179225735669634
IC50S,0.0132117385379124
alphaS,0.0246576544845453
rR,0.425862608551748
IC50R,1.91792856711681e-06
alphaR,-9.55222932937903e-07
K,0.00347312600077828
S0,0.0244798101486842
R0,0.0788827400462858
