Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,10000,10000,10000,30000,30000,30000
1,33381.93031,28864.19006,30328.87299,91386.46019,76219.83343,73411.22564
2,36909.25884,35381.29281,38285.64659,139223.5518,124015.3882,135110.6982
3,41378.40252,41293.9012,44485.16051,238623.2241,197857.0601,200281.3932
4,32295.73348,33222.39277,49381.32819,366818.1126,284843.7416,300719.1938
5,36230.43226,40934.28661,43579.97367,397648.3809,363934.1361,373721.2891
6,27536.84866,32304.59233,31159.14094,413089.2018,416931.0098,401628.5668
7,36293.40246,36068.91957,32343.3327,566853.5504,537602.4065,488035.7269
8,25257.48389,29105.54975,38102.85701,423829.2973,416051.5586,433030.5733
9,28099.84527,26520.83818,25818.38801,501438.3277,504618.8312,498615.0334
10,24596.06212,27570.95426,57008.01669,386548.8859,372756.0459,373202.6063
11,130718.6832,31247.84679,31021.36918,438390.5693,474497.6425,449057.7211
12,31250.72151,58306.21971,56053.35327,324185.9186,329092.7052,335402.0845
13,41866.65623,48005.664,42029.47918,412054.6718,440965.6593,427894.7082
14,49006.77284,76632.5229,59424.46876,330634.7711,332053.3606,339826.5624
