Day,Rep1,Rep2,Rep3
0,40000,40000,40000
1,66600.00121,39023.33661,60203.57831
2,113703.1575,67328.16748,98609.59185
3,173617.8943,99456.05214,155419.0764
4,261399.7017,156081.1826,241220.5297
5,334097.5258,230451.2371,315249.1957
6,352166.3552,288411.3945,389362.9693
7,424001.4485,369274.7913,603121.2368
8,356478.4058,342404.0578,393562.6319
9,437137.9512,424699.0488,453099.0389
10,315800.4588,324316.3373,347241.5967
11,383427.4218,415909.6801,417060.92
12,307936.0675,301427.8823,331839.4184
13,363870.2468,386688.2417,381551.2228
14,289758.2919,298687.8573,288827.4867
