Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,20000,20000,20000,20000,20000,20000
1,69526.49234,65762.08689,56337.48185,58254.47463,47840.35745,30734.11165
2,91203.51416,92978.92178,64444.19101,95314.68594,84892.62904,60375.04499
3,94706.00661,90645.09365,80641.78857,145027.3899,125344.6852,88659.94833
4,81379.18525,89514.34834,77321.55769,217704.5043,198593.6941,149038.0636
5,85950.5675,86611.10925,87631.50026,307047.4837,268509.9563,219915.4036
6,67943.73051,87983.19469,71169.60387,357291.5036,321456.0627,260305.6042
7,57734.81404,52198.28637,57288.23408,405370.1309,380678.6162,335223.9101
8,45752.09354,49698.19345,54721.41621,387097.0004,366164.6305,351224.7356
9,42847.5442,34622.42369,33955.01779,461991.5654,422526.0489,409333.5965
10,38482.77069,38497.98523,36668.85739,340780.6782,312731.7176,330976.1595
11,43020.67314,30254.18877,25512.25897,417723.7303,379696.3593,403357.9593
12,50216.97402,50595.42101,33511.9188,302277.8822,300193.1775,281677.2401
13,54265.9774,35854.46888,25249.40728,391628.8014,381821.1733,358910.4244
14,67326.97457,95542.9627,64505.57718,299909.0685,314517.9201,321347.5271
