Parameter,S1
rS,0.375465523753301
KS,0.00613965426295588
IC50S,0.119797754358834
nS,0.00298547240026582
alphaS,0.0397842252594143
rR,0.0162883446906471
KR,3.40869078679532e-05
IC50R,0.00059021948178699
nR,0.00371539805842147
alphaR,9.01265513485377e-05
delta,2.44819511268694e-05
gamma,3.97856041660295e-06
S0,0.0322592003271693
R0,0.00230016844844676
