Parameter,ST
rS,0.718000812801573
KS,0.0475420301711478
IC50S,0.369341871613132
nS,0.0308488939188211
alphaS,0.123048156304362
rR,0.0319999906493464
KR,0.000180464048811961
IC50R,0.00312053089805814
nR,0.0129016748685436
alphaR,0.000575966043892229
delta,-7.69447416095647e-06
gamma,4.28405968241509e-05
S0,0.121682022917903
R0,0.0113686875012112
