time,S,R,T
0,10000,30000,40000
0.2,11179.5301138423,33781.6808032393,44961.2109170817
0.4,12473.7170769534,37959.5381972128,50433.2552741662
0.6,13893.2191814268,42573.5173093596,56466.7364907864
0.8,15447.0151851131,47658.4248133938,63105.439998507
1,17142.9138758637,53245.7402863525,70388.6541622162
1.2,18984.9483126605,59354.0426667432,78338.9909794037
1.4,20979.3492904584,66010.5596049894,86989.9088954479
1.6,23129.4370533628,73231.5775550016,96361.0146083645
1.8,25433.1445675318,81016.0693830344,106449.213950566
2,27894.6114918033,89383.2968556707,117277.908347474
2.2,30500.6709879156,98292.8078192749,128793.47880719
2.4,33252.9165398444,107755.416672708,141008.333212552
2.6,36134.0212422619,117713.852072384,153847.873314646
2.8,39132.9057129517,128133.542861135,167266.448574087
3,42234.3228286579,138963.521693298,181197.844521956
3.2,45412.582655267,150113.619404096,195526.202059363
3.4,48654.576861505,161540.651061687,210195.227923192
3.6,51931.246120403,173136.869320385,225068.115440788
3.8,55216.8257431033,184811.798425666,240028.62416877
4,58481.5520577581,196457.787749856,254939.339807614
4.2,61707.2572393663,208006.464830815,269713.722070181
4.4,64874.428234714,219383.653015246,284258.08124996
4.6,67949.3389717384,230464.544400294,298413.883372032
4.8,70903.1322067274,241140.180555042,312043.312761769
5,73748.1320367645,251452.922291784,325201.054328549
5.2,76451.7103034036,261278.126697095,337729.837000499
5.4,78997.3822500812,270549.937669853,349547.319919934
5.6,81379.7978690101,279245.204656188,360625.002525199
5.8,83607.6396107876,287394.896813688,371002.536424475
6,85670.2036301652,294952.46554604,380622.669176206
6.2,87568.1362510186,301914.916351337,389483.052602356
6.4,89305.9150448693,308299.541300304,397605.456345173
6.6,90890.2361477902,314126.930135754,405017.166283544
6.8,92330.6830136265,319428.015290913,411758.69830454
7,93637.0321531121,324236.606486864,417873.638639976
7.2,94809.5723862338,328556.922623231,423366.495009464
7.4,95866.5214459444,332452.869784196,428319.39123014
7.6,96822.5223868001,335978.018059148,432800.540445948
7.8,97676.7548869491,339128.401907339,436805.156794288
8,98435.7426359822,341927.884981953,440363.627617935
8.2,99118.004878644,344445.570199742,443563.575078386
8.4,99736.5400181583,346730.238347918,446466.778366076
8.6,100293.408654093,348788.358171247,449081.766825339
8.8,100783.482854276,350598.665111516,451382.147965792
9,101222.986963893,352223.139926631,453446.126890525
9.2,101618.63635397,353687.007219545,455305.643573515
9.4,101974.85901306,355006.451972737,456981.310985798
9.6,102289.719906739,356172.014241938,458461.734148677
9.8,102569.869395824,357209.493218261,459779.362614085
10,102817.789915413,358127.986609983,460945.776525396
10.2,103035.626267008,358935.356988076,461970.983255084
10.4,103231.121556779,359660.078284178,462891.199840957
10.6,103403.65091603,360299.834599383,463703.485515414
10.8,103554.926036158,360860.91694172,464415.842977878
11,103686.221105539,361348.013624639,465034.234730177
11.2,103803.020974925,361781.36468027,465584.385655195
11.4,103905.894311254,362163.07852893,466068.972840184
