time,S,R,T
18.6,5.82118090886563,466067.226519543,466073.047700452
18.8,4.41680407180576,466230.117362956,466234.534167028
19,3.34080064610963,466370.849373204,466374.19017385
19.2,2.51977128607376,466492.032609868,466494.552381154
19.4,1.89540550296039,466595.98109977,466597.876505273
19.6,1.42239558716849,466684.731207744,466686.153603331
19.8,1.06435363009807,466760.095718438,466761.160072069
20,0.793652361828723,466823.672449198,466824.46610156
20.2,0.589733587412807,466876.867833753,466877.45756734
20.4,0.436985671566872,466920.920219843,466921.357205515
20.6,0.323087335902706,466956.921947103,466957.245034438
20.8,0.238269641667199,466985.837332506,466986.075602148
21,0.175077585218904,467008.516944731,467008.692022316
21.2,0.128163104182766,467025.709212831,467025.837375935
21.4,0.0935603186181723,467038.072566807,467038.166127125
21.6,0.0681639644885405,467046.186848192,467046.255012156
21.8,0.0495388204842078,467050.562977294,467050.612516114
22,0.035876946519407,467051.650843691,467051.686720637
22.2,0.025871331212238,467049.846579228,467049.872450559
22.4,0.0185982352191215,467045.497686631,467045.516284866
22.6,0.0133414579120914,467038.91022454,467038.923565998
22.8,0.0095462779340667,467030.353860558,467030.363406836
23,0.00680622575355146,467020.06608831,467020.072894536
23.2,0.00483438500783858,467008.255396775,467008.260231161
23.4,0.0034265738837722,466995.104818146,466995.108244719
23.6,0.00242349136405778,466980.776032236,466980.778455727
23.8,0.00170758733265899,466965.411319985,466965.413027573
24,0.00119868657672263,466949.13548094,466949.136679627
24.2,0.000839534403084233,466932.058239834,466932.059079369
24.4,0.000586711157325231,466914.27619833,466914.276785042
24.6,0.000408583228512231,466895.874413361,466895.874821944
24.8,0.000283349639337282,466876.927565499,466876.927848849
25,0.000196137431968977,466857.50119307,466857.501389207
