Parameter,ST
rS,0.695989362060236
KS,0.0195714457566317
IC50S,0.387091883521092
nS,0.0250392498325026
alphaS,0.119218751907152
rR,0.0306335744617926
KR,7.15247490536087e-05
IC50R,0.00243577197625043
nR,0.0112393497119888
alphaR,0.00043259235080389
delta,3.11719935886062e-06
gamma,1.13366852673241e-05
S0,0.165907085512104
R0,0.0128740805265928
