Parameter,S1
rS,0.352518257304989
KS,0.00244552626474514
IC50S,0.127304949282933
nS,0.00257163401785371
alphaS,0.0383041427089857
rR,0.0172041690445195
KR,2.55425365582794e-05
IC50R,0.00067595050090794
nR,0.0040049070386242
alphaR,0.000118529895396735
delta,-7.94559007132677e-06
gamma,4.15868455789619e-06
S0,0.0446805329721833
R0,0.0037879445659121
