Parameter,ST
rS,0.536023260225914
KS,0.000635651867372381
IC50S,0.310457443751561
nS,0.00579713824719742
alphaS,0.0950947327967039
rR,0.0596467632932059
KR,1.44951846550087e-05
IC50R,0.00329203835715497
nR,0.0148775424460831
alphaR,0.000537428913527973
delta,1.68498652421076e-05
gamma,3.93592049134757e-06
S0,0.281219266058307
R0,0.0522633044342756
