Parameter,S1
rS,0.29879539389718
KS,0.00020877004128951
IC50S,0.1370848027243
nS,0.000670364408329621
alphaS,0.0394651958537065
rR,0.0412112431599981
KR,9.91609380196186e-06
IC50R,0.0017281611609951
nR,0.00832967196708448
alphaR,0.000294524071510437
delta,-4.39719761457051e-06
gamma,-3.50575418873075e-06
S0,0.119109279760607
R0,0.0344213137580975
