30000,30000,30000
47812.1259242388,47812.1259242388,47812.1259242388
76195.4978795283,76195.4978795283,76195.4978795283
121418.251987511,121418.251987511,121418.251987511
193383.276908325,193383.276908325,193383.276908325
307296.446009019,307296.446009019,307296.446009019
483199.402815488,483199.402815488,483199.402815488
727938.167375962,727938.167375962,727938.167375962
971644.584542647,971644.584542647,971644.584542647
1102240.46905079,1102240.46905079,1102240.46905079
1141833.53963626,1141833.53963626,1141833.53963626
1151082.01308699,1151082.01308699,1151082.01308699
1153090.27486344,1153090.27486344,1153090.27486344
1153519.10906187,1153519.10906187,1153519.10906187
1153610.38624962,1153610.38624962,1153610.38624962
