30000,30000,30000
52600.4653074978,52600.4653074978,52600.4653074978
90932.3772690581,90932.3772690581,90932.3772690581
153542.08086052,153542.08086052,153542.08086052
249774.820786583,249774.820786583,249774.820786583
384678.089893444,384678.089893444,384678.089893444
551290.027258071,551290.027258071,551290.027258071
727637.259593927,727637.259593927,727637.259593927
886275.456674863,886275.456674863,886275.456674863
1009415.40863658,1009415.40863658,1009415.40863658
1094505.27642687,1094505.27642687,1094505.27642687
1148689.17056308,1148689.17056308,1148689.17056308
1181415.93237135,1181415.93237135,1181415.93237135
1200554.9519718,1200554.9519718,1200554.9519718
1211537.6580137,1211537.6580137,1211537.6580137
