Parameter,S1
rS,0.786650436189953
KS,0.0337138393123701
IC50S,0
nS,0
alphaS,0
rR,0.00464318244713549
KR,1.3972928040899e-05
IC50R,0
nR,0
alphaR,0
delta,4.67491925967922e-05
gamma,-4.91080578403546e-06
S0,0.0624887950367453
R0,0.000707270145700649
