time,S,R,T,dose_u1
20.6,76040.8899549201,393407.778906714,469448.668861634,0
20.8,76043.1065912153,393419.980519597,469463.087110812,0
21,76045.0621706088,393430.745147238,469475.807317847,0
21.2,76046.785586463,393440.231828931,469487.017415394,0
21.4,76048.3078087314,393448.611035259,469496.918843991,0
21.6,76049.6507773893,393456.00353299,469505.65431038,0
21.8,76050.8355575173,393462.525273774,469513.360831291,0
22,76051.8807775063,393468.278797169,469520.159574675,0
22.2,76052.8018894773,393473.349159199,469526.151048676,0
22.4,76053.6154540394,393477.827517837,469531.442971876,0
22.6,76054.3332025834,393481.778448782,469536.111651365,0
22.8,76054.9663977209,393485.263947523,469540.230345243,0
23,76055.5249985832,393488.338834641,469543.863833224,0
23.2,76056.0172659246,393491.048581961,469547.065847886,0
23.4,76056.4520525103,393493.441920147,469549.893972657,0
23.6,76056.8356293886,393495.553368677,469552.388998066,0
23.8,76057.1740167442,393497.416066186,469554.59008293,0
24,76057.4725378187,393499.059314967,469556.531852786,0
24.2,76057.7356079808,393500.507419858,469558.243027838,0
24.4,76057.9679588511,393501.786426553,469559.754385404,0
24.6,76058.1729421328,393502.914784868,469561.087727001,0
24.8,76058.3537753686,393503.910206132,469562.263981501,0
25,76058.5133035572,393504.788350977,469563.301654535,0
