30000,30000,30000
73101.66393509,73101.66393509,73101.66393509
160863.599766755,160863.599766755,160863.599766755
308835.554423932,308835.554423932,308835.554423932
506935.557506295,506935.557506295,506935.557506295
715275.97167497,715275.97167497,715275.97167497
891990.16619933,891990.16619933,891990.16619933
1019034.21145391,1019034.21145391,1019034.21145391
1100621.15591742,1100621.15591742,1100621.15591742
1149450.90185454,1149450.90185454,1149450.90185454
1177482.72753383,1177482.72753383,1177482.72753383
1193197.4896576,1193197.4896576,1193197.4896576
1201890.97257882,1201890.97257882,1201890.97257882
1206665.00003669,1206665.00003669,1206665.00003669
1209276.49517139,1209276.49517139,1209276.49517139
