Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,22500,22500,22500,7500,7500,7500
1,91539.80741,62799.57884,86760.25757,12049.81116,7703.240463,9222.974928
2,164490.3839,110579.6978,160183.5414,21098.4668,11731.59503,16111.22851
3,248582.3095,162308.5467,233342.4011,37024.63745,16868.22711,24821.36537
4,350084.5964,205739.8302,306206.9489,58541.96856,37579.49862,47300.71316
5,459866.1256,329221.4319,412321.7445,101690.6849,49429.62343,63200.76581
6,529300.3685,386435.0318,466691.6509,134060.2498,84410.328,72290.70262
7,685223.2057,600248.5246,652332.5423,214424.3447,160958.2204,149345.4555
8,525601.1939,426993.4849,538133.0302,256951.816,137872.1869,166002.3145
9,650581.3294,598026.6168,654813.6777,437914.9863,266872.873,263910.2592
10,847020.8669,788965.303,656553.1759,544768.4152,354823.6851,299985.7873
11,685716.7294,727635.6016,654212.3178,655155.5097,512029.7439,451961.9372
12,657405.9535,568927.3445,482184.3287,455765.9442,305865.4173,306346.9258
13,793185.3358,655091.8292,542247.3294,783600.824,698104.9842,492127.1934
14,594386.0162,567986.856,499666.7209,504028.5329,430847.0546,446420.2342
