Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,22500,22500,22500,7500,7500,7500
1,10959.33525,6973.465036,9918.992809,7002.320943,6207.914288,7621.436646
2,31972.20834,28245.03308,26890.78702,10904.1266,13198.13661,11508.25808
3,90367.63366,67645.89973,63782.26731,16739.20863,19425.20705,17557.6387
4,243457.7927,196341.1688,220832.8129,35511.71586,34236.28468,28792.39143
5,465457.2881,363498.1663,385393.8564,55940.72614,60928.34835,50986.93139
6,398076.689,279043.6647,372620.8751,47208.0241,47861.62782,38275.10375
7,630651.8405,508421.7207,538030.0736,56611.88678,76909.41142,75052.2034
8,766987.5287,686316.6974,643121.0701,109224.1012,99986.17735,97097.90942
9,713834.0053,566474.3168,716653.019,101161.1343,100654.4176,95024.42113
10,942757.4241,787036.7534,734371.9725,79488.0172,83730.91359,73829.86014
11,885000.8268,765009.856,846353.5514,104799.8645,90741.43935,98025.50521
12,1001946.491,822027.2203,887325.0138,74531.37161,62216.57348,65310.9004
13,1030105.096,855078.8481,905146.1801,86420.66676,66779.80527,72214.86789
14,930690.2654,894994.4279,890334.4072,53696.53601,48001.17916,48251.04352
