Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,15000,15000,15000,15000,15000,15000
1,58234.56009,33213.1209,51514.16764,18763.67636,11404.06414,17471.62662
2,110688.4653,63588.85623,91643.64863,34911.13665,20714.23325,26881.60886
3,149011.7037,101010.8658,139434.2208,48619.07916,35042.73295,46572.7132
4,188297.7189,144378.1384,198461.0621,91573.35981,77536.83207,92179.40566
5,287584.5561,232867.0204,282642.8914,164116.2311,153833.6672,145449.5323
6,329063.1319,217425.5272,308982.7566,257514.9976,217562.0497,192117.7061
7,485795.7925,420567.4645,449142.8748,506273.8703,459833.9849,350937.6744
8,356458.6512,288944.9752,277138.2853,425552.8644,407300.5993,283289.7588
9,409786.8412,392741.2009,397954.8893,760699.5841,765366.5817,549457.3406
10,432230.0022,395198.3059,404986.7754,806289.9959,763771.5661,578972.0378
11,466819.3122,425367.2299,453913.8037,1012323.657,1012245.258,802463.7608
12,436755.2207,408815.1132,385116.0651,663922.0879,670732.5942,474058.1598
13,556266.345,550372.5972,455741.9139,995797.6738,1078981.191,925033.6504
14,385338.6464,439606.7241,275620.1969,644344.2477,663130.5877,574545.9446
