Day,Rep1,Rep2,Rep3
0,30000,30000,30000
1,169335.6868,229440.6205,216787.0404
2,251398.0077,316224.3077,299813.3093
3,333652.6316,435130.1671,396763.8843
4,331078.3785,427368.0583,361106.7249
5,338407.6404,378731.497,361228.679
6,312387.8596,375009.1932,350442.6488
7,257399.5017,302292.4021,259115.6904
8,211553.617,217004.7855,188087.0326
9,127951.9108,148705.647,130180.7574
10,111179.0152,120534.5476,85164.82144
11,76091.796,80246.49623,59077.90582
12,49399.25506,53054.69438,35855.13957
13,39196.62215,38265.68574,26283.42094
14,20237.83123,19361.44675,14826.44494
