Day,S_Rep1,S_Rep2,S_Rep3,R_Rep1,R_Rep2,R_Rep3
0,7500,7500,7500,22500,22500,22500
1,6414.945465,3340.401212,2038.41281,24421.17265,15803.79,14787.1583
2,15690.87131,11154.47874,8568.432793,39347.74312,28154.95397,25870.15571
3,51207.48008,29663.4242,30131.67692,70949.14732,44793.68507,44878.84268
4,121737.4477,80368.36023,69939.48142,131930.919,103786.5835,90791.98239
5,294863.5644,227333.6079,190875.246,275931.9909,210080.6156,196541.967
6,290171.7254,185425.2189,178675.179,362413.6764,323759.3296,292561.7857
7,511292.6124,392131.7307,284602.2974,515186.7333,480712.4688,415599.7869
8,542443.4773,446811.028,374830.4673,609400.1894,606686.2598,535637.1762
9,461400.7649,489660.1758,341869.5151,791101.6026,741531.1612,672047.3556
10,521265.8154,456438.4941,500870.3419,533435.9946,528570.7465,582217.9396
11,660377.3084,637053.7347,766085.6904,976504.2931,962439.019,989516.1359
12,422690.8478,632940.9375,537664.1377,459875.4373,511578.2734,498962.0304
13,676421.4831,748412.5571,762562.2379,783110.6045,831435.3718,794743.7051
14,605390.7227,598404.4943,595698.675,567537.4882,483391.5543,467410.1588
