time,S,R,T,dose_u1
0,22500,7500,30000,0
0.2,26180.0571205116,8488.07855758473,34668.1356780963,0
0.4,30400.4352155736,9592.29771229456,39992.7329278681,0
0.6,35267.9863065677,10832.0730054343,46100.059312002,0
0.8,40874.3669789257,12222.4735564104,53096.840535336,0
1,47321.8546800872,13779.4759715925,61101.3306516797,0.25
1.2,54799.1569607549,15534.408836775,70333.5657975299,0.25
1.4,63287.4944320337,17477.8885225959,80765.3829546296,0.25
1.6,72965.3981534255,19637.4959167848,92602.8940702103,0.25
1.8,83969.5138804701,22031.522054701,106001.035935171,0.25
2,96439.1630090443,24677.0196852868,121116.182694331,0.5
2.2,110399.698830486,27601.4182187006,138001.117049187,0.5
2.4,125887.759030627,30783.2661656026,156671.025196229,0.5
2.6,143095.362975271,34248.9639192942,177344.326894565,0.5
2.8,162123.23149006,38008.4221946093,200131.653684669,0.5
3,183026.751678965,42063.6938350227,225090.445513987,0.75
3.2,203896.818695037,46379.8573004508,250276.675995488,0.75
3.4,225982.119191718,50952.6679985152,276934.787190233,0.75
3.6,249187.094211378,55774.4408294461,304961.535040824,0.75
3.8,273424.132000545,60842.7657702572,334266.897770802,0.75
4,298506.323334037,66136.5717655235,364642.89509956,1
4.2,318300.070775567,71424.9652193955,389725.035994963,1
4.4,337615.439888042,76876.7407212205,414492.180609262,1
4.6,356290.623768053,82466.1520713528,438756.775839406,1
4.8,374073.653064301,88190.0900653556,462263.743129657,1
5,390779.313066819,94033.26227453,484812.575341349,1
5.2,406023.249766653,99996.9480242004,506020.197790853,1
5.4,419956.20210993,106046.012874223,526002.214984153,1
5.6,432559.375033295,112165.393004536,544724.768037831,1
5.8,443630.128968814,118354.211634782,561984.340603596,1
6,453112.011060557,124608.018118389,577720.029178946,1
6.2,460731.554778603,130937.691772254,591669.246550857,1
6.4,466857.058982496,137330.958655851,604188.017638346,1
6.6,471585.889478479,143785.808047197,615371.697525677,1
6.8,474814.83046839,150312.943406136,625127.773874526,1
7,476589.132521761,156920.820620107,633509.953141868,1
7.2,476765.117167325,163637.735941422,640402.853108747,1
7.4,475729.891627291,170455.701408008,646185.593035299,1
7.6,473608.305796269,177378.355938988,650986.661735258,1
7.8,470362.893990476,184427.626782444,654790.520772921,1
8,466066.200891858,191618.398983041,657684.599874899,1
8.2,460654.264268569,198994.197417441,659648.46168601,1
8.4,454423.601786426,206535.529554483,660959.131340909,1
8.6,447476.484340077,214244.677410539,661721.161750616,1
8.8,439805.017964564,222150.931224278,661955.949188842,1
9,431470.80758153,230269.523674262,661740.331255792,1
9.2,422451.344021945,238653.871982946,661105.216004891,1
9.4,412940.405924068,247266.604208705,660207.010132773,1
9.6,403009.635697807,256104.825300578,659114.460998385,1
9.8,392664.805307427,265200.642424334,657865.447731761,1
10,381952.023843001,274565.625127516,656517.648970517,0.75
10.2,387573.832102858,286429.687466118,674003.519568976,0.75
10.4,392066.378940894,298190.000163459,690256.379104353,0.75
10.6,395506.303868359,309841.467738098,705347.771606457,0.75
10.8,397818.599691893,321367.487789893,719186.087481786,0.75
11,399039.569039492,332766.464424566,731806.033464058,0.75
11.2,399063.834636666,344025.575609579,743089.410246245,0.75
11.4,398182.950701623,355179.194880397,753362.145582021,0.75
11.6,396491.383746,366236.521363204,762727.905109204,0.75
11.8,393962.719278368,377194.988727479,771157.708005846,0.75
12,390652.802359447,388064.108699892,778716.911059339,0.75
12.2,386516.991159002,398846.520889336,785363.512048339,0.75
12.4,381777.354492745,409571.52274919,791348.877241935,0.75
12.6,376511.05092377,420248.98095328,796760.031877051,0.75
12.8,370714.647445026,430882.662929948,801597.310374974,0.75
13,364436.052563393,441481.942749845,805917.995313238,0.75
13.2,357663.386318069,452055.014492454,809718.400810523,0.75
13.4,350539.89155799,462615.692302267,813155.583860256,0.75
13.6,343118.914679852,473168.728477632,816287.643157484,0.75
13.8,335407.408354917,483717.816404702,819125.224759619,0.75
14,327440.955998719,494267.301938079,821708.257936799,0.75
14.2,319225.16956715,504822.513382965,824047.682950115,0.75
14.4,310842.226105067,515384.479661516,826226.705766583,0.75
14.6,302326.491395599,525952.2928787,828278.784274299,0.75
14.8,293691.108723783,536525.467070191,830216.575793974,0.75
15,284962.151237709,547102.137005328,832064.288243037,0.75
15.2,276157.470801147,557679.281395592,833836.752196739,0.75
15.4,267315.229079406,568251.988749284,835567.21782869,0.75
15.6,258457.443103962,578814.456890079,837271.899994041,0.75
15.8,249605.386323794,589359.856144344,838965.242468137,0.75
16,240779.094250819,599880.41745327,840659.511704089,0.75
16.2,231997.735788881,610367.253009484,842364.988798366,0.75
16.4,223275.040800293,620813.845538977,844088.886339269,0.75
16.6,214622.97284185,631213.701962985,845836.674804835,0.75
16.8,206063.495937824,641552.365370851,847615.861308675,0.75
17,197612.187241177,651818.364078411,849430.551319589,0.75
17.2,189303.885247722,661984.68246082,851288.567708542,0.75
17.4,181124.375918823,672058.015326192,853182.391245015,0.75
17.6,173078.433801761,682032.806327486,855111.240129246,0.75
17.8,165190.369451346,691887.753846921,857078.123298267,0.75
18,157472.001263318,701609.437089297,859081.438352615,0.75
18.2,149962.034602345,711160.124351052,861122.158953397,0.75
18.4,142629.195114364,720559.784124746,863188.97923911,0.75
18.6,135472.213402197,729806.021852899,865278.235255096,0.75
18.8,128515.703147162,738872.589835762,867388.292982924,0.75
19,121767.420059113,747746.684963209,869514.105022322,0.75
19.2,115266.569118344,756383.059900205,871649.629018549,0.75
19.4,108969.745222524,764816.673510175,873786.4187327,0.75
19.6,102870.649507757,773049.776843722,875920.426351479,0.75
19.8,96992.1390246638,781053.90362748,878046.042652144,0.75
20,91337.8162423062,788818.990697663,880156.806939969,0.75
20.2,85944.004719283,796296.836275689,882240.840994972,0.75
20.4,80760.4436713067,803535.894742101,884296.338413408,0.75
20.6,75777.1063914082,810543.474092262,886320.58048367,0.75
20.8,71013.5297172506,817291.719118428,888305.248835678,0.75
21,66469.5559123745,823774.596130269,890244.152042643,0.75
21.2,62176.2232395472,829945.43975583,892121.662995377,0.75
21.4,58081.6620726504,835862.164411226,893943.826483877,0.75
21.6,54173.7121862998,841536.440680562,895710.152866862,0.75
21.8,50467.8204636895,846943.276298571,897411.09676226,0.75
22,46960.9747983347,852080.900327843,899041.875126178,0.75
22.2,43677.8283648873,856907.60877091,900585.437135797,0.75
22.4,40569.4288612545,861485.404246905,902054.833108159,0.75
22.6,37623.1018584656,865828.832885646,903451.934744111,0.75
22.8,34850.2155672424,869917.067346553,904767.282913795,0.75
23,32246.0719795571,873751.931297877,905998.003277435,0.75
23.2,29829.0206908344,877298.578795195,907127.59948603,0.75
23.4,27556.2012265721,880617.798408602,908173.999635174,0.75
23.6,25415.7521715423,883725.242035208,909140.99420675,0.75
23.8,23415.5150803493,886604.602313895,910020.117394245,0.75
24,21550.2145030206,889260.133462872,910810.347965892,0.75
24.2,19831.3742745691,891666.738027819,911498.112302388,0.75
24.4,18224.3432383829,893879.066539752,912103.409778135,0.75
24.6,16721.8650015222,895907.03162745,912628.896628972,0.75
24.8,15327.3799700685,897741.344150382,913068.72412045,0.75
25,14035.4858780779,899388.170634732,913423.65651281,0.75
