0,30000,30000,30000
1,48670.0597878244,48670.0597878244,48670.0597878244
2,76478.0323477802,76478.0323477802,76478.0323477802
3,114656.687650824,114656.687650824,114656.687650824
4,161453.742140234,161453.742140234,161453.742140234
5,211274.154115752,211274.154115752,211274.154115752
6,256800.300626502,256800.300626502,256800.300626502
7,292859.914306645,292859.914306645,292859.914306645
8,318283.017781473,318283.017781473,318283.017781473
9,334760.034574643,334760.034574643,334760.034574643
10,344859.734456207,344859.734456207,344859.734456207
