0,10000,10000,10000
1,17726.0503483453,17726.0503483453,17726.0503483453
2,29997.1054602819,29997.1054602819,29997.1054602819
3,47775.1005228888,47775.1005228888,47775.1005228888
4,71052.6025434772,71052.6025434772,71052.6025434772
5,98916.8072984015,98916.8072984015,98916.8072984015
6,130324.661610839,130324.661610839,130324.661610839
7,164723.660444283,164723.660444283,164723.660444283
8,201927.722826996,201927.722826996,201927.722826996
9,241526.249072513,241526.249072513,241526.249072513
10,282361.606818405,282361.606818405,282361.606818405
