0,10000,10000,10000
1,17108.4282432697,17108.4282432697,17108.4282432697
2,27857.838324342,27857.838324342,27857.838324342
3,42213.1146016275,42213.1146016275,42213.1146016275
4,58449.4051977083,58449.4051977083,58449.4051977083
5,73648.6932411184,73648.6932411184,73648.6932411184
6,85528.8791834058,85528.8791834058,85528.8791834058
7,93561.2807637194,93561.2807637194,93561.2807637194
8,98470.7555820764,98470.7555820764,98470.7555820764
9,101288.007210048,101288.007210048,101288.007210048
10,102846.198176841,102846.198176841,102846.198176841
