time,S,R,T,dose_u1
0,22500,7500,30000,0
0.2,25224.3247196213,8470.56243079417,33694.8871504155,0
0.4,28223.0593268108,9546.10489528887,37769.1642220997,0
0.6,31537.105685786,10743.1389180466,42280.2446038325,0
0.8,35196.5737197488,12074.2839935126,47270.8577132614,0
1,39226.6986975126,13550.4706352105,52777.1693327231,1.5
1.2,42969.9807732932,15202.9488268261,58172.9296001193,1.5
1.4,46847.5614773387,17014.5635776555,63862.1250549943,1.5
1.6,50842.8878180922,19006.1991118336,69849.0869299258,1.5
1.8,54928.6899290585,21194.8942831268,76123.5842121853,1.5
2,59070.8920354666,23593.4500903052,82664.3421257718,1.5
2.2,63228.020037167,26244.849332079,89472.8693692459,1.5
2.4,67355.8274123566,29116.1263928131,96471.9538051697,1.5
2.6,71411.2771639591,32227.4277042636,103638.704868223,1.5
2.8,75346.3075531453,35599.6094156765,110945.916968822,1.5
3,79114.1147215237,39244.5325848851,118358.647306409,1.5
3.2,82631.2867544901,43216.8694552623,125848.156209752,1.5
3.4,85900.2734573409,47466.5285033971,133366.801960738,1.5
3.6,88879.7152593462,52004.1188700723,140883.834129419,1.5
3.8,91514.3784586601,56856.6504224803,148371.02888114,1.5
4,93768.7024974005,62034.1311185016,155802.833615902,1.5
4.2,95542.5356705011,67603.2161229675,163145.751793469,1.5
4.4,96903.588580413,73499.1418827105,170402.730463123,1.5
4.6,97854.8441650718,79711.9371527771,177566.781317849,1.5
4.8,98345.887296922,86277.3769940621,184623.264290984,1.5
5,98371.788393869,93203.5688468042,191575.357240673,0
5.2,105521.407622402,100432.883004128,205954.29062653,0
5.4,112754.095161083,107776.48835066,220530.583511743,0
5.6,120018.195859249,115179.173047819,235197.368907068,0
5.8,127262.433795424,122591.784820082,249854.218615506,0
6,134425.078071853,129950.004259992,264375.082331845,1.5
6.2,129427.419939675,137472.571838316,266899.991777992,1.5
6.4,124183.596828159,145306.411489312,269490.008317471,1.5
6.6,118744.070539616,153437.402308723,272181.472848339,1.5
6.8,113128.878205233,161895.822950504,275024.701155737,1.5
7,107378.857738103,170681.718348699,278060.576086802,0
7.2,112593.484105252,179518.721004933,292112.205110184,0
7.4,117646.103514635,188104.725184276,305750.828698911,0
7.6,122519.435092221,196406.011324652,318925.446416873,0
7.8,127172.447621323,204351.51871111,331523.966332433,0
8,131584.099261697,211902.095819274,343486.195080971,0
8.2,135699.277302458,218962.320479839,354661.597782297,0
8.4,139566.759730073,225609.282713272,365176.042443345,0
8.6,143195.019758352,231854.645355984,375049.665114336,0
8.8,146559.49733932,237654.909118533,384214.406457853,0
9,149661.971907825,243011.058886205,392673.030794029,0
9.2,152470.818550371,247867.432957023,400338.251507394,0
9.4,155053.056700122,252336.718249964,407389.774950086,0
9.6,157428.499951773,256451.833327286,413880.333279059,0
9.8,159587.099157614,260194.706805488,419781.805963102,0
10,161540.485760741,263584.555801532,425125.041562274,0
10.2,163274.564913556,266596.383993255,429870.948906811,0
10.4,164846.357098777,269327.987520639,434174.344619415,0
10.6,166274.410406848,271811.075856047,438085.486262895,0
10.8,167555.804454355,274040.303860129,441596.108314484,0
11,168702.0414185,276035.328036478,444737.369454978,0
11.2,169707.58452764,277786.305180992,447493.889708632,0
11.4,170611.397845456,279360.662890285,449972.060735742,0
11.6,171426.562001579,280781.0100084,452207.572009979,0
11.8,172152.629428205,282046.474670644,454199.104098849,0
12,172797.694336934,283171.048387656,455968.74272459,0
12.2,173359.835854581,284151.31125661,457511.14711119,0
12.4,173862.705673908,285028.375672872,458891.081346781,0
12.6,174314.379634592,285816.271801383,460130.651435975,0
12.8,174715.021730344,286515.256632583,461230.278362927,0
13,175069.634608965,287134.02225331,462203.656862275,0
13.2,175377.503893959,287671.300022984,463048.803916943,0
13.4,175652.188739116,288150.71313994,463802.901879056,0
13.6,175898.347118202,288580.374763325,464478.721881527,0
13.8,176116.197173535,288960.656884122,465076.854057657,0
14,176308.652849036,289296.635353656,465605.288202692,0
14.2,176475.36916038,289587.701486902,466063.070647283,0
14.4,176623.903050779,289847.037062823,466470.940113602,0
14.6,176756.846809463,290079.163302838,466836.010112302,0
14.8,176874.356846788,290284.350728319,467158.707575107,0
15,176978.054049012,290465.426464783,467443.480513795,0
15.2,177067.782895475,290622.117060573,467689.899956048,0
15.4,177147.233668391,290760.863457478,467908.097125869,0
15.6,177217.497484026,290883.569723875,468101.067207901,0
15.8,177279.628744392,290992.076104959,468271.704849351,0
16,177334.564384904,291088.018028487,468422.582413391,0
16.2,177383.083312399,291172.755145035,468555.838457434,0
16.4,177426.026329275,291247.755257613,468673.781586887,0
16.6,177463.989330121,291314.058697671,468778.048027793,0
16.8,177497.547043856,291372.668916403,468870.21596026,0
17,177527.209386027,291424.47626104,468951.685647067,0
17.2,177553.399955365,291470.220382123,469023.620337488,0
17.4,177576.575318615,291510.698527395,469087.273846009,0
17.6,177597.058862811,291546.475408767,469143.534271578,0
17.8,177615.162164674,291578.095135252,469193.257299926,0
18,177631.161435433,291606.040073472,469237.201508905,0
18.2,177645.286039362,291630.710783343,469275.996822705,0
18.4,177657.782990679,291652.538657591,469310.32164827,0
18.6,177668.827194011,291671.829160491,469340.656354502,0
18.8,177678.587072301,291688.876442329,469367.46351463,0
19,177687.211865315,291703.941154859,469391.153020174,0
19.2,177694.825474508,291717.239697266,469412.065171774,0
19.4,177701.561277391,291729.005021704,469430.566299095,0
19.6,177707.513698955,291739.40204901,469446.915747964,0
19.8,177712.773637648,291748.58954238,469461.363180028,0
20,177717.421619426,291756.708149826,469474.129769252,0
20.2,177721.524490668,291763.874626824,469485.399117491,0
20.4,177725.154193261,291770.214629556,469495.368822817,0
20.6,177728.361653931,291775.817108887,469504.178762818,0
20.8,177731.19588949,291780.76768025,469511.96356974,0
21,177733.700317808,291785.142180073,469518.842497881,0
21.2,177735.910978792,291789.00355809,469524.914536882,0
21.4,177737.866654655,291792.419554152,469530.286208807,0
21.6,177739.594797442,291795.438118154,469535.032915596,0
21.8,177741.121827356,291798.105397847,469539.227225204,0
22,177742.471145137,291800.462267042,469542.93341218,0
22.2,177743.662174405,291802.542652805,469546.204827209,0
22.4,177744.715815312,291804.383061309,469549.098876621,0
22.6,177745.646861664,291806.009332846,469551.65619451,0
22.8,177746.469550542,291807.446335326,469553.915885868,0
23,177747.196491451,291808.716093808,469555.912585259,0
23.2,177747.838150647,291809.836889735,469557.675040383,0
23.4,177748.405789565,291810.828393517,469559.234183081,0
23.6,177748.90737931,291811.70452834,469560.61190765,0
23.8,177749.350590823,291812.4786931,469561.829283922,0
24,177749.742217967,291813.162754706,469562.904972673,0
24.2,177750.08789979,291813.766562942,469563.854462732,0
24.4,177750.393703661,291814.30071575,469564.694419411,0
24.6,177750.663924149,291814.772714507,469565.436638656,0
24.8,177750.902694068,291815.189778054,469566.092472122,0
25,177751.113673652,291815.558299772,469566.671973424,0
