time,S,R,T,dose_u1
17,417855.463780298,51199.6753911992,469055.139171498,0
17.2,417906.939953978,51206.3862204108,469113.326174389,0
17.4,417952.660632964,51212.3467617563,469165.00739472,0
17.6,417993.224159157,51217.6350062754,469210.859165433,0
17.8,418029.21034184,51222.3265318284,469251.536873668,0
18,418061.13509042,51226.4885889174,469287.623679337,0
18.2,418089.427437537,51230.1771039834,469319.60454152,0
18.4,418114.553939627,51233.4528960232,469348.00683565,0
18.6,418136.84424717,51236.3589380076,469373.203185178,0
18.8,418156.617653943,51238.9368535576,469395.5545075,0
19,418174.158162165,51241.2236662254,469415.381828391,0
19.2,418189.701909517,51243.2501599542,469432.952069471,0
19.4,418203.505592002,51245.0497991076,469448.555391109,0
19.6,418215.750557286,51246.6462254049,469462.396782691,0
19.8,418226.612411454,51248.0623322774,469474.674743731,0
20,418236.247319861,51249.3184788842,469485.565798746,0
20.2,418244.785116374,51250.4315916236,469495.216707998,0
20.4,418252.366909766,51251.4200669048,469503.786976671,0
20.6,418259.092381807,51252.2969003408,469511.389282147,0
20.8,418265.058044964,51253.0746744272,469518.132719391,0
21,418270.349717809,51253.7645775315,469524.11429534,0
21.2,418275.038745164,51254.3759110618,469529.414656226,0
21.4,418279.202658908,51254.9187830804,469534.121441989,0
21.6,418282.896226795,51255.4003338403,469538.296560636,0
21.8,418286.172471267,51255.8274760731,469541.99994734,0
22,418289.078536886,51256.2063562059,469545.284893092,0
22.2,418291.653615946,51256.542083901,469548.195699847,0
22.4,418293.940296919,51256.8402116047,469550.780508524,0
22.6,418295.968663231,51257.1046614305,469553.073324661,0
22.8,418297.767838412,51257.3392303524,469555.107068765,0
23,418299.363716614,51257.5472943195,469556.911010933,0
23.2,418300.777823885,51257.7316597916,469558.509483677,0
23.4,418302.033550776,51257.895376315,469559.928927091,0
23.6,418303.147419616,51258.040597993,469561.188017609,0
23.8,418304.13542517,51258.1694101492,469562.304835319,0
24,418305.011788357,51258.2836668426,469563.2954552,0
24.2,418305.788331056,51258.384909357,469564.173240413,0
24.4,418306.477898899,51258.474812449,469564.952711348,0
24.6,418307.089565537,51258.5545591021,469565.64412464,0
24.8,418307.632114779,51258.625294511,469566.25740929,0
25,418308.113356252,51258.6880368621,469566.801393114,0
