time,S,R,T,dose_u1
0,30000,10000,40000,0
0.2,33539.500306192,11260.8757983207,44800.3761045127,0
0.4,37413.950364978,12650.1416812498,50064.0920462278,0
0.6,41667.4665551624,14185.7649162271,55853.2314713895,0
0.8,46331.4754156563,15881.1345324591,62212.6099481154,0
1,51428.2681391586,17746.273214717,69174.5413538756,1.5
1.2,56082.3567867515,19815.718938946,75898.0757256975,1.5
1.4,60852.5313760384,22065.8979866223,82918.4293626607,1.5
1.6,65706.423065342,24515.3800504433,90221.8031157853,1.5
1.8,70601.9436432869,27180.6856068987,97782.6292501856,1.5
2,75489.96701969,30071.7493313404,105561.71635103,1.5
2.2,80301.558058182,33232.4192375042,113533.977295686,1.5
2.4,84995.9094657785,36621.4194092723,121617.328875051,1.5
2.6,89518.1734436856,40249.7729846915,129767.946428377,1.5
2.8,93804.9452374909,44137.4177731526,137942.363010644,1.5
3,97801.5233315645,48291.6352192258,146093.15855079,1.5
3.2,101394.753864713,52765.0335428548,154159.787407568,1.5
3.4,104613.862172007,57504.186466731,162118.048638738,1.5
3.6,107435.562955514,62503.0958277545,169938.658783268,1.5
3.8,109791.104217218,67789.7223654727,177580.826582691,1.5
4,111649.767545356,73370.9226016471,185020.690147003,0
4.2,119976.871285391,79211.3800662859,199188.251351677,0
4.4,128431.657718773,85166.6177967276,213598.275515501,0
4.6,136953.411769873,91191.7804961401,228145.192266013,0
4.8,145488.183845158,97251.5624632808,242739.746308439,0
5,153964.575741667,103294.583989026,257259.159730693,1.5
5.2,150690.583607408,109487.134659437,260177.718266846,1.5
5.4,146972.798162267,115943.168753344,262915.966915612,1.5
5.6,142870.513513766,122657.597175007,265528.110688773,1.5
5.8,138385.065829,129665.751248579,268050.817077579,1.5
6,133557.579665622,136979.280892735,270536.860558357,0
6.2,140318.04568191,144372.167341842,284690.213023752,0
6.4,146895.600669639,151585.668180262,298481.268849901,0
6.6,153264.409557676,158587.821632874,311852.231190549,0
6.8,159371.037329321,165319.028519412,324690.065848733,0
7,165185.113077731,171743.132091569,336928.2451693,0
7.2,170633.90655244,177778.978418901,348412.884971342,0
7.4,175773.261414507,183482.642268797,359255.903683304,0
7.6,180610.770167008,188860.00474565,369470.774912658,0
7.8,185112.532387396,193872.343698223,378984.87608562,0
8,189277.993625168,198517.205697646,387795.199322814,0
8.2,193063.38985383,202744.879145563,395808.268999392,0
8.4,196553.244803697,206646.863609507,403200.108413204,0
8.6,199771.90536165,210249.127728372,410021.033090022,0
8.8,202704.735837568,213534.695973502,416239.431811069,0
9,205365.686176796,216518.324584029,421884.010760825,0
9.2,207734.562603491,219176.884978592,426911.447582083,0
9.4,209886.275875941,221593.288466601,431479.564342541,0
9.6,211844.982261204,223794.170405306,435639.15266651,0
9.8,213606.114955903,225774.150799059,439380.265754961,0
10,215184.566105471,227549.639346044,442734.205451515,0
10.2,216572.196988121,229111.288151561,445683.485139682,0
10.4,217821.419169546,230517.678775525,448339.097945071,0
10.6,218949.755281583,231788.369595488,450738.124877072,0
10.8,219956.327615307,232922.284562451,452878.612177758,0
11,220851.950349561,233931.494691363,454783.445040924,0
11.2,221633.71662696,234812.656403093,456446.373030053,0
11.4,222333.923824523,235602.045817328,457935.969641851,0
11.6,222963.572278797,236312.010817698,459275.583096494,0
11.8,223522.777719032,236942.653743732,460465.431462765,0
12,224018.342553839,237501.611077874,461519.953631714,0
12.2,224449.16292407,237987.616259785,462436.779183855,0
12.4,224833.944634376,238421.732285798,463255.676920174,0
12.6,225179.102442152,238811.180136698,463990.282578849,0
12.8,225484.89210515,239156.239787065,464641.131892215,0
13,225755.320904259,239461.422518102,465216.743422361,0
13.2,225989.857973048,239726.122913876,465715.980886925,0
13.4,226199.00715826,239962.184060223,466161.191218483,0
13.6,226386.366766718,240173.662461538,466560.029228256,0
13.8,226552.134007451,240360.77815646,466912.91216391,0
14,226698.555829289,240526.064332699,467224.620161988,0
14.2,226825.39085197,240669.246640679,467494.637492649,0
14.4,226937.796401639,240796.143826129,467733.940227768,0
14.6,227037.291939804,240908.46987087,467945.761810674,0
14.8,227125.348250624,241007.884093886,468133.23234451,0
15,227203.27376932,241095.862851061,468299.136620381,0
15.2,227272.156775373,241173.634151022,468445.790926395,0
15.4,227333.174831803,241242.526859562,468575.701691366,0
15.6,227387.162264163,241303.482570615,468690.644834779,0
15.8,227434.924947518,241357.41084197,468792.335789489,0
16,227477.178591028,241405.119522705,468882.298113732,0
16.2,227514.518001215,241447.28001276,468961.798013975,0
16.4,227547.585703013,241484.617607356,469032.203310369,0
16.6,227576.836645959,241517.645882705,469094.482528664,0
16.8,227602.709761457,241546.860353873,469149.570115331,0
17,227625.594515595,241572.700710872,469198.295226467,0
17.2,227645.814442557,241595.532214913,469241.34665747,0
17.4,227663.718716186,241615.749083075,469279.467799261,0
17.6,227679.554488391,241633.630355582,469313.184843973,0
17.8,227693.56006157,241649.445087548,469343.005149117,0
18,227705.946778636,241663.431900467,469369.378679102,0
18.2,227716.890163485,241675.788975147,469392.679138632,0
18.4,227726.57955765,241686.730096385,469413.309654034,0
18.6,227735.148955433,241696.406558346,469431.555513779,0
18.8,227742.727510139,241704.964190998,469447.691701137,0
19,227749.429733323,241712.532293424,469461.962026748,0
19.2,227755.350716716,241719.218237552,469474.568954268,0
19.4,227760.59301085,241725.137818153,469485.730829004,0
19.6,227765.229181876,241730.372973682,469495.602155558,0
19.8,227769.329161603,241735.002668543,469504.331830146,0
20,227772.954944956,241739.09690553,469512.051850486,0
20.2,227776.158009706,241742.713811924,469518.87182163,0
20.4,227778.993863532,241745.916065699,469524.909929231,0
20.6,227781.501782254,241748.748016338,469530.249798592,0
20.8,227783.719612176,241751.252399304,469534.97201148,0
21,227785.680901646,241753.467096992,469539.147998638,0
21.2,227787.413506652,241755.423564097,469542.837070749,0
21.4,227788.947461561,241757.155715183,469546.103176744,0
21.6,227790.304017291,241758.687546655,469548.991563946,0
21.8,227791.503650212,241760.042180354,469551.545830566,0
22,227792.564510563,241761.240111495,469553.804622058,0
22.2,227793.501668616,241762.298357414,469555.80002603,0
22.4,227794.331372483,241763.235265483,469557.566637966,0
22.6,227795.065118386,241764.063817247,469559.128935633,0
22.8,227795.713983217,241764.796520762,469560.51050398,0
23,227796.287785304,241765.444462918,469561.732248222,0
23.2,227796.794676788,241766.016849145,469562.811525933,0
23.4,227797.243446749,241766.523604115,469563.767050864,0
23.6,227797.640313769,241766.971749881,469564.61206365,0
23.8,227797.991269529,241767.368052283,469565.359321811,0
24,227798.301624855,241767.718508343,469566.020133198,0
24.2,227798.575789295,241768.02809735,469566.603886645,0
24.4,227798.818516863,241768.302187572,469567.120704435,0
24.6,227799.033171177,241768.544577231,469567.577748408,0
24.8,227799.22299309,241768.758925922,469567.981919012,0
25,227799.390855169,241768.948477371,469568.33933254,0
