Parameter,ST
rS,0.304680971460948
IC50S,0.0402764432185661
alphaS,0.085092544527154
rR,0.543856132143644
IC50R,1.0846649876782e-06
alphaR,-4.63344311430008e-07
K,0.0130385187054871
S0,0.0917090481745328
R0,0.19225798149469
