Parameter,ST
rS,0.876623987455314
KS,0.05484371485936
IC50S,0
nS,0
alphaS,0
rR,0.0047553688827068
KR,2.97192787277169e-05
IC50R,0
nR,0
alphaR,0
delta,9.26336546678414e-05
gamma,-1.27500858459825e-07
S0,0.163912351687673
R0,0.00196830816662504
