Parameter,S1
rS,0.783629103253579
KS,0.0182491238037356
IC50S,0
nS,0
alphaS,0
rR,0.00261954481067461
KR,-8.26377205920985e-07
IC50R,0
nR,0
alphaR,0
delta,2.63216340295796e-05
gamma,-5.14369147751088e-06
S0,0.0977172661566347
R0,0.00055646714835816
