10000,10000,10000
15656.6267294906,15656.6267294906,15656.6267294906
24510.2449089505,24510.2449089505,24510.2449089505
38360.4433869631,38360.4433869631,38360.4433869631
59977.68909061,59977.68909061,59977.68909061
93435.7840028179,93435.7840028179,93435.7840028179
143733.804123794,143733.804123794,143733.804123794
212461.540179408,212461.540179408,212461.540179408
285337.340575357,285337.340575357,285337.340575357
334585.255343342,334585.255343342,334585.255343342
355449.562912964,355449.562912964,355449.562912964
362141.511780458,362141.511780458,362141.511780458
364067.150316158,364067.150316158,364067.150316158
364603.46989905,364603.46989905,364603.46989905
364751.361779954,364751.361779954,364751.361779954
